Date,Open,High,Low,Close,Volume
9-Dec-16,69.54,70.05,69.01,70.03,1928690
8-Dec-16,68.88,70.40,68.05,69.62,2302774
7-Dec-16,67.62,68.68,67.00,68.35,3082053
6-Dec-16,66.37,67.73,65.61,67.69,1748108
5-Dec-16,66.12,66.65,65.48,66.06,2184287
2-Dec-16,64.66,65.74,64.40,65.36,2095486
1-Dec-16,64.01,65.44,63.97,65.14,2125531
30-Nov-16,62.92,63.99,62.87,63.75,3114521
29-Nov-16,61.76,62.30,61.51,61.75,1865964
28-Nov-16,61.98,62.50,61.05,61.13,1567850
25-Nov-16,62.08,62.20,61.62,62.16,466537
23-Nov-16,61.88,62.44,61.48,62.17,1412276
22-Nov-16,61.34,61.93,61.01,61.55,1540319
21-Nov-16,61.11,61.38,60.63,60.93,2459629
18-Nov-16,60.61,61.08,60.39,61.04,3463271
17-Nov-16,59.22,60.59,59.14,60.57,3421913
16-Nov-16,58.93,59.98,58.78,59.21,3199792
15-Nov-16,58.44,60.19,58.03,60.18,3637851
14-Nov-16,58.27,59.43,57.93,59.05,3805753
11-Nov-16,56.00,58.18,55.75,57.83,3719620
10-Nov-16,55.05,56.75,54.96,56.39,4465380
9-Nov-16,54.53,54.99,52.11,54.76,3976210
8-Nov-16,51.87,52.24,51.12,52.02,1258678
7-Nov-16,51.95,52.25,51.64,52.00,1443132
4-Nov-16,50.43,51.10,49.81,50.53,1655079
3-Nov-16,50.80,51.19,50.48,50.49,1618936
2-Nov-16,51.83,51.95,50.22,50.41,2779895
1-Nov-16,52.39,52.55,51.25,52.10,1810932
31-Oct-16,52.26,52.42,51.99,52.09,2130213
28-Oct-16,52.40,52.40,51.57,52.02,2548133
27-Oct-16,52.48,52.59,51.84,52.31,2279124
26-Oct-16,51.46,52.16,51.40,52.01,1590258
25-Oct-16,51.73,52.18,51.47,51.80,1784047
24-Oct-16,51.90,52.15,51.58,51.71,1761850
21-Oct-16,51.07,51.65,50.70,51.46,2747254
20-Oct-16,51.60,51.88,51.14,51.64,3339616
19-Oct-16,50.43,52.04,50.18,51.77,4242733
18-Oct-16,49.44,50.54,48.68,50.05,4894844
17-Oct-16,48.40,48.62,47.88,48.06,2067931
14-Oct-16,48.77,48.99,48.08,48.40,1633374
13-Oct-16,48.00,48.06,47.12,47.91,1511092
12-Oct-16,48.61,49.05,48.49,48.61,1182119
11-Oct-16,49.21,49.45,48.23,48.64,2322631
10-Oct-16,49.46,49.75,49.26,49.47,1257733
7-Oct-16,49.12,49.48,48.18,48.98,1826557
6-Oct-16,49.36,49.61,48.70,49.20,1663505
5-Oct-16,48.33,49.62,48.22,49.21,2583883
4-Oct-16,47.03,48.31,46.85,47.87,1941673
3-Oct-16,46.82,47.64,46.75,47.37,1507764
30-Sep-16,46.95,47.63,46.59,47.32,1990996
29-Sep-16,47.53,47.80,46.31,46.63,1911368
28-Sep-16,46.66,47.70,46.43,47.68,2364514
27-Sep-16,45.47,46.40,45.14,46.34,927573
26-Sep-16,46.54,46.62,45.65,45.72,1419236
23-Sep-16,46.43,47.35,46.43,46.96,1561633
22-Sep-16,46.73,46.89,46.40,46.74,990645
21-Sep-16,46.54,46.79,46.04,46.51,1589420
20-Sep-16,46.73,46.84,45.97,46.15,1076931
19-Sep-16,46.67,47.00,46.14,46.35,914916
16-Sep-16,47.10,47.10,46.07,46.34,2250862
15-Sep-16,45.93,46.73,45.70,46.66,1673433
14-Sep-16,46.01,46.38,45.55,45.86,1357806
13-Sep-16,45.57,46.22,45.15,46.04,2325108
12-Sep-16,45.72,46.50,45.26,46.37,2733686
9-Sep-16,46.97,47.44,46.18,46.20,2732042
8-Sep-16,47.04,47.32,46.56,46.97,2075852
7-Sep-16,46.84,47.05,46.53,46.99,1419953
