Date,Open,High,Low,Close,Volume
9-Dec-16,76.14,76.87,76.03,76.84,1087097
8-Dec-16,76.02,76.37,75.67,76.07,1143755
7-Dec-16,74.35,75.58,74.06,75.58,1213446
6-Dec-16,73.12,74.53,73.12,74.20,1040193
5-Dec-16,74.50,74.80,73.24,73.59,1235088
2-Dec-16,73.14,74.33,73.09,74.21,1710366
1-Dec-16,75.10,75.42,72.43,73.11,2160137
30-Nov-16,77.34,77.57,75.04,75.06,2246618
29-Nov-16,76.90,77.82,76.79,77.05,840860
28-Nov-16,76.84,77.76,76.70,77.34,888507
25-Nov-16,77.84,78.05,76.94,77.05,603420
23-Nov-16,76.62,78.07,76.46,77.66,1425392
22-Nov-16,76.34,76.73,75.45,76.68,2547023
21-Nov-16,76.33,76.52,75.63,76.10,969247
18-Nov-16,76.41,76.77,76.17,76.39,516935
17-Nov-16,76.59,77.04,76.34,76.49,900006
16-Nov-16,76.21,76.57,75.66,76.49,1142360
15-Nov-16,76.22,76.77,75.99,76.39,1062249
14-Nov-16,76.24,76.34,74.85,76.17,1756236
11-Nov-16,75.51,76.05,74.60,75.97,1427228
10-Nov-16,78.78,78.84,75.15,75.89,2946765
9-Nov-16,78.49,79.00,77.32,78.59,1874811
8-Nov-16,78.51,79.66,78.20,79.60,1247466
7-Nov-16,77.65,78.69,77.28,78.62,1779828
4-Nov-16,78.02,78.07,76.44,76.48,1218022
3-Nov-16,76.89,78.72,76.13,78.24,2035197
2-Nov-16,76.77,77.16,76.00,76.92,1786654
1-Nov-16,77.23,77.39,76.25,76.87,1575147
31-Oct-16,77.17,77.62,76.43,77.07,1686818
28-Oct-16,78.48,78.64,76.56,77.10,2260967
27-Oct-16,79.14,79.25,78.34,78.36,1249999
26-Oct-16,79.73,80.25,79.19,79.53,832692
25-Oct-16,80.02,80.27,79.66,79.75,708457
24-Oct-16,80.24,80.77,79.98,80.31,974373
21-Oct-16,79.44,80.21,78.67,79.68,871344
20-Oct-16,81.83,81.85,79.57,80.11,1303052
19-Oct-16,81.03,82.13,80.79,82.02,1489069
18-Oct-16,80.20,81.08,79.94,80.92,1390460
17-Oct-16,79.50,79.89,79.13,79.52,1246233
14-Oct-16,79.14,79.79,79.10,79.26,532320
13-Oct-16,77.81,78.78,77.37,78.60,591886
12-Oct-16,78.55,78.86,78.21,78.69,366947
11-Oct-16,78.94,79.01,77.76,78.38,783437
10-Oct-16,78.86,79.28,78.78,79.22,742296
7-Oct-16,79.83,79.83,78.18,78.32,665718
6-Oct-16,79.46,79.81,78.99,79.55,836463
5-Oct-16,79.80,79.85,79.18,79.40,956140
4-Oct-16,80.73,80.91,79.39,79.43,801854
3-Oct-16,81.55,81.67,80.58,80.85,1007486
30-Sep-16,81.27,82.24,80.58,81.95,2238807
29-Sep-16,80.43,81.20,80.42,80.90,1650561
28-Sep-16,79.50,80.50,79.39,80.43,736835
27-Sep-16,78.51,79.73,78.33,79.56,1139311
26-Sep-16,79.19,79.52,78.98,79.04,739877
23-Sep-16,79.30,79.82,79.05,79.34,774473
22-Sep-16,79.48,79.94,79.40,79.69,924236
21-Sep-16,78.70,79.15,78.08,79.09,1202481
20-Sep-16,78.96,79.09,78.46,78.60,964142
19-Sep-16,78.98,78.98,78.19,78.37,1207176
16-Sep-16,78.12,78.54,77.59,78.46,3424265
15-Sep-16,77.06,78.35,76.66,78.30,1755188
14-Sep-16,77.08,77.61,76.79,77.09,1344502
13-Sep-16,77.37,78.44,76.91,77.16,1492845
