Date,Open,High,Low,Close,Volume
9-Dec-16,56.09,56.24,55.18,55.24,1836634
8-Dec-16,55.16,56.37,55.14,56.35,2019153
7-Dec-16,54.04,55.31,54.01,55.28,2032875
6-Dec-16,53.86,54.10,53.50,54.08,2363518
5-Dec-16,53.53,54.07,53.48,54.06,2270218
2-Dec-16,53.37,53.44,52.48,53.23,1175252
1-Dec-16,52.95,53.58,52.76,53.39,1782003
30-Nov-16,52.70,52.79,52.38,52.74,2473020
29-Nov-16,52.45,52.81,52.44,52.75,1489668
28-Nov-16,52.83,53.00,52.57,52.81,1230404
25-Nov-16,52.72,53.11,52.34,53.11,666991
23-Nov-16,52.27,52.85,52.16,52.79,1111484
22-Nov-16,52.04,52.45,51.89,52.44,1378992
21-Nov-16,51.74,51.99,51.46,51.96,1176056
18-Nov-16,51.12,51.51,50.48,51.50,1244543
17-Nov-16,51.37,51.55,50.99,51.14,948337
16-Nov-16,51.60,51.71,51.03,51.38,1650618
15-Nov-16,51.70,51.84,51.08,51.79,1745233
14-Nov-16,50.64,51.85,50.45,51.63,2173531
11-Nov-16,50.27,50.99,50.20,50.66,1920154
10-Nov-16,49.77,51.30,49.71,50.57,2826287
9-Nov-16,49.38,49.95,47.23,49.56,4840372
8-Nov-16,50.50,51.16,49.93,50.29,2978268
7-Nov-16,51.67,52.03,51.25,51.97,3122951
4-Nov-16,50.99,51.22,50.64,50.86,1542466
3-Nov-16,51.08,51.28,50.75,50.86,2096247
2-Nov-16,51.18,51.45,50.98,51.03,1527231
1-Nov-16,51.67,51.70,51.00,51.09,1754115
31-Oct-16,51.52,51.66,51.08,51.47,1814898
28-Oct-16,50.89,51.36,50.74,51.30,1727147
27-Oct-16,50.54,50.92,50.35,50.79,1746496
26-Oct-16,50.02,50.55,49.69,50.48,1623825
25-Oct-16,50.40,50.57,50.19,50.36,718974
24-Oct-16,48.52,50.32,48.52,50.28,928850
21-Oct-16,49.33,49.87,49.04,49.80,1336481
20-Oct-16,49.73,50.03,49.38,49.61,1212738
19-Oct-16,49.42,49.82,49.26,49.68,1507929
18-Oct-16,51.10,51.10,49.39,49.42,1895013
17-Oct-16,50.90,51.08,50.56,51.05,1124532
14-Oct-16,51.23,51.41,51.00,51.00,915620
13-Oct-16,51.14,51.26,50.84,50.98,959235
12-Oct-16,51.07,51.45,50.95,51.34,1006591
11-Oct-16,51.45,51.53,51.04,51.14,848169
10-Oct-16,51.74,51.89,51.48,51.49,497800
7-Oct-16,51.86,51.86,51.18,51.53,542287
6-Oct-16,51.67,51.86,51.45,51.74,536775
5-Oct-16,51.95,52.17,51.67,51.90,1357469
4-Oct-16,51.60,52.34,50.55,51.77,1629543
3-Oct-16,51.38,51.63,51.23,51.43,706586
30-Sep-16,51.65,51.71,51.46,51.52,868379
29-Sep-16,51.42,51.73,51.32,51.34,979390
28-Sep-16,51.42,51.47,51.11,51.45,782945
27-Sep-16,50.80,51.42,50.48,51.41,925349
26-Sep-16,50.75,50.91,50.64,50.79,955133
23-Sep-16,50.87,50.97,50.59,50.87,575743
22-Sep-16,51.00,51.17,50.82,50.90,913783
21-Sep-16,50.48,50.81,50.16,50.75,784030
20-Sep-16,50.37,50.75,49.98,50.19,1059882
19-Sep-16,50.50,50.55,49.94,50.05,844065
16-Sep-16,49.90,50.53,49.87,50.31,1523373
15-Sep-16,50.16,50.49,50.08,50.42,675180
14-Sep-16,50.44,50.69,50.00,50.13,750688
13-Sep-16,50.76,51.14,50.39,50.49,1021908
12-Sep-16,50.40,51.41,50.27,51.24,1133544
9-Sep-16,51.14,51.78,50.57,50.57,1030436
8-Sep-16,51.54,51.86,51.31,51.47,986725
7-Sep-16,51.50,51.90,51.42,51.59,943134
6-Sep-16,51.36,51.74,50.98,51.74,1107757
2-Sep-16,51.30,51.64,51.05,51.32,776167
1-Sep-16,50.94,51.23,50.51,51.17,1145059
31-Aug-16,51.12,51.15,50.43,50.65,1227454
30-Aug-16,51.13,51.29,50.98,51.24,746248
29-Aug-16,51.17,51.17,50.50,51.07,571827
26-Aug-16,51.08,51.40,50.94,51.07,1030522
25-Aug-16,51.42,51.42,51.10,51.22,588990
24-Aug-16,51.24,51.50,51.10,51.42,594666
23-Aug-16,51.26,51.36,51.09,51.20,638539
22-Aug-16,50.89,51.20,50.89,51.11,718594
19-Aug-16,50.73,51.19,50.47,51.18,915897
18-Aug-16,50.93,51.05,50.58,50.77,1052249
17-Aug-16,51.01,51.25,50.85,51.01,692897
16-Aug-16,50.92,51.20,50.83,51.09,607329
15-Aug-16,51.37,51.50,51.12,51.14,516100
12-Aug-16,51.30,51.36,50.56,51.28,833796
11-Aug-16,51.22,51.36,49.70,51.30,572572
10-Aug-16,50.95,51.29,50.41,51.21,905863
9-Aug-16,51.08,51.18,50.74,51.06,983555
8-Aug-16,51.31,51.44,50.86,51.02,925351
5-Aug-16,50.80,51.20,50.45,51.16,1240292
4-Aug-16,50.53,50.89,50.10,50.43,1813770
3-Aug-16,50.77,51.86,50.35,51.02,2422411
2-Aug-16,50.00,52.58,50.00,51.29,3167835
1-Aug-16,49.49,49.81,49.29,49.59,1479910
29-Jul-16,49.72,49.95,48.89,49.43,2355289
28-Jul-16,49.96,50.27,49.42,50.15,753931
27-Jul-16,50.40,50.54,49.83,49.95,1265684
26-Jul-16,50.11,50.46,50.04,50.46,762440
25-Jul-16,50.22,50.22,49.86,49.96,607844
22-Jul-16,49.72,50.19,49.54,50.16,770951
21-Jul-16,49.70,49.81,49.44,49.53,666519
20-Jul-16,50.13,50.20,49.81,49.81,840770
19-Jul-16,50.03,50.06,49.79,50.00,1149830
18-Jul-16,50.00,50.13,49.62,50.08,925855
15-Jul-16,50.21,50.26,49.87,50.00,1026254
14-Jul-16,50.39,50.58,50.15,50.17,639521
13-Jul-16,50.06,50.32,49.82,50.16,730735
12-Jul-16,50.04,50.28,49.82,49.99,1428156
11-Jul-16,49.77,50.02,49.37,49.81,819479
8-Jul-16,49.68,50.13,49.29,49.92,910002
7-Jul-16,49.04,49.29,48.94,49.26,854545
6-Jul-16,49.05,49.28,48.41,48.97,1046997
5-Jul-16,49.65,49.69,48.86,49.29,1157451
1-Jul-16,49.05,49.73,48.70,49.69,1087433
30-Jun-16,48.37,49.05,48.16,49.04,1415663
29-Jun-16,47.90,48.44,47.85,48.15,1199240
28-Jun-16,47.27,47.68,46.83,47.60,1506240
27-Jun-16,47.10,47.51,46.48,47.07,2025984
24-Jun-16,47.31,48.26,47.26,47.50,2283131
23-Jun-16,49.03,49.23,48.82,49.01,724361
22-Jun-16,48.64,49.03,48.27,48.53,665681
21-Jun-16,48.73,48.75,48.28,48.57,1763863
20-Jun-16,48.77,49.40,48.61,48.67,1393617
17-Jun-16,48.34,48.56,47.97,48.29,1592564
16-Jun-16,48.15,48.42,47.73,48.32,606020
15-Jun-16,48.28,48.75,48.23,48.25,1211548
14-Jun-16,48.51,48.72,48.02,48.26,1005490
13-Jun-16,49.24,49.27,48.69,48.72,963015
10-Jun-16,49.85,49.85,49.02,49.26,862614
9-Jun-16,49.80,50.07,49.45,49.98,1723032
8-Jun-16,49.52,50.19,49.37,49.83,1218842
7-Jun-16,49.39,49.93,49.37,49.56,1339111
6-Jun-16,49.52,49.63,48.81,49.48,1584073
3-Jun-16,48.18,49.15,48.04,49.07,1696880
2-Jun-16,48.48,48.71,48.24,48.46,900508
1-Jun-16,48.56,48.77,48.34,48.62,1433562
31-May-16,48.70,49.19,48.31,48.55,5620400
27-May-16,48.72,48.97,48.66,48.67,1104523
26-May-16,48.74,49.20,48.71,48.91,1103848
25-May-16,49.23,49.48,48.73,48.87,1785035
24-May-16,49.00,49.41,48.65,49.18,1465598
23-May-16,48.43,48.86,47.91,48.73,2166975
20-May-16,47.85,48.74,47.76,48.43,5588458
19-May-16,47.46,47.90,47.10,47.76,1066661
18-May-16,47.50,47.94,47.26,47.66,1367382
