Date,Open,High,Low,Close,Volume
9-Dec-16,65.53,66.46,65.48,65.67,1658655
8-Dec-16,64.79,65.70,64.35,65.61,2119386
7-Dec-16,63.87,65.30,63.76,65.27,2809887
6-Dec-16,62.65,63.90,62.50,63.55,2460886
5-Dec-16,62.73,63.11,62.07,62.66,2648568
2-Dec-16,62.02,63.69,61.96,62.78,2688595
1-Dec-16,62.54,62.59,61.08,61.41,2439004
30-Nov-16,63.38,63.80,62.43,62.78,4513008
29-Nov-16,63.44,64.27,63.05,64.19,2438392
28-Nov-16,62.66,63.58,62.45,63.40,2467155
25-Nov-16,62.17,63.17,61.86,62.64,817025
23-Nov-16,61.90,62.32,61.38,62.18,2108121
22-Nov-16,62.11,62.58,61.65,62.42,2598240
21-Nov-16,62.75,63.00,61.72,61.85,2311205
18-Nov-16,62.05,62.67,61.69,62.49,2177514
17-Nov-16,63.04,63.47,61.67,61.98,2037863
16-Nov-16,62.87,63.47,62.30,63.01,2493898
15-Nov-16,63.87,65.15,62.36,62.76,2559821
14-Nov-16,61.36,64.06,60.62,63.72,3366305
11-Nov-16,60.81,62.07,60.71,61.52,3337540
10-Nov-16,62.57,62.60,59.39,61.01,6131246
9-Nov-16,63.24,63.92,61.39,62.75,4956055
8-Nov-16,65.97,66.28,64.86,64.97,2692798
7-Nov-16,65.98,66.27,64.93,66.24,2251976
4-Nov-16,65.05,65.62,64.24,65.14,2634699
3-Nov-16,67.07,67.07,65.75,65.98,3366215
2-Nov-16,67.36,68.22,67.00,67.21,4007895
1-Nov-16,68.28,68.54,66.46,67.41,3891625
31-Oct-16,68.89,69.15,68.30,68.53,2497706
28-Oct-16,68.76,69.15,68.11,68.45,1946260
27-Oct-16,69.36,69.45,67.62,68.40,1863990
26-Oct-16,70.44,70.58,69.28,69.69,1075593
25-Oct-16,70.79,71.10,70.35,70.97,1118845
24-Oct-16,70.85,71.70,70.49,70.86,1121363
21-Oct-16,70.45,70.89,70.28,70.50,1266755
20-Oct-16,70.61,71.13,70.30,70.88,1619480
19-Oct-16,70.42,70.92,70.16,70.59,1963244
18-Oct-16,69.98,70.74,69.71,70.33,1473429
17-Oct-16,69.59,70.01,69.21,69.33,1496023
14-Oct-16,70.69,70.69,68.91,69.43,1508602
13-Oct-16,69.00,70.12,68.81,69.89,1594351
12-Oct-16,68.75,69.46,68.73,69.12,1420324
11-Oct-16,69.59,69.98,68.64,68.74,1775646
10-Oct-16,69.60,70.39,69.50,69.79,1279024
7-Oct-16,70.71,71.49,69.26,69.54,2749918
6-Oct-16,70.16,70.78,69.11,70.33,3066033
5-Oct-16,72.07,72.52,70.15,70.38,2847497
4-Oct-16,73.70,73.76,71.49,71.88,2479815
3-Oct-16,74.46,74.85,73.62,73.79,1850512
30-Sep-16,76.42,76.89,74.72,74.77,2126304
29-Sep-16,76.03,76.62,75.01,75.81,1722576
28-Sep-16,75.59,76.54,75.59,76.45,1639989
27-Sep-16,77.02,77.18,75.39,75.52,2404419
26-Sep-16,75.92,77.13,75.92,76.80,2816385
23-Sep-16,76.04,76.84,75.32,76.40,1666919
22-Sep-16,74.91,76.29,74.89,76.09,2901607
21-Sep-16,73.28,74.50,72.34,74.34,2891675
20-Sep-16,73.96,73.96,73.16,73.18,2529215
19-Sep-16,73.64,73.81,73.01,73.25,2751049
16-Sep-16,73.38,73.56,72.78,73.19,3372393
15-Sep-16,73.29,73.78,72.87,73.61,1635173
14-Sep-16,73.46,74.20,73.11,73.54,1927382
13-Sep-16,74.25,74.51,72.82,73.09,1896484
12-Sep-16,73.63,75.10,73.38,74.77,2179673
9-Sep-16,76.52,76.81,73.51,73.75,3189649
8-Sep-16,77.81,77.87,77.01,77.38,3189416
7-Sep-16,77.89,78.19,77.46,78.19,1289689
6-Sep-16,76.95,77.97,76.45,77.92,1877941
2-Sep-16,76.71,77.72,76.39,76.70,1676194
1-Sep-16,76.75,76.79,75.98,76.43,1263052
31-Aug-16,76.83,77.32,76.23,76.75,2266218
30-Aug-16,77.11,77.22,76.24,77.00,1130021
29-Aug-16,76.09,77.34,76.05,76.96,1485491
26-Aug-16,77.14,77.58,75.14,75.78,1916136
25-Aug-16,76.38,77.30,76.30,77.00,1446392
24-Aug-16,76.91,77.15,75.85,76.29,1064825
23-Aug-16,76.98,77.11,76.54,76.91,1178645
22-Aug-16,76.46,76.98,76.28,76.64,1538181
19-Aug-16,76.64,76.92,76.07,76.26,1774190
18-Aug-16,77.00,77.26,76.41,76.89,1240825
17-Aug-16,76.85,77.26,76.09,77.00,1999248
