Date,Open,High,Low,Close,Volume
9-Dec-16,141.65,142.55,141.13,142.51,901223
8-Dec-16,145.11,145.11,141.64,141.89,1361466
7-Dec-16,142.35,145.44,141.84,144.98,1016259
6-Dec-16,141.97,142.92,141.47,142.55,1385003
5-Dec-16,143.09,143.60,141.19,142.46,1126956
2-Dec-16,144.35,144.69,141.38,141.90,1782629
1-Dec-16,140.03,144.05,140.01,143.47,2575952
30-Nov-16,138.12,139.94,137.23,138.93,1191684
29-Nov-16,135.97,137.61,134.03,136.95,623744
28-Nov-16,138.29,138.64,136.63,136.76,676666
25-Nov-16,138.05,139.04,137.99,139.04,253968
23-Nov-16,137.19,138.71,137.09,138.29,824962
22-Nov-16,137.75,138.18,136.64,137.82,745243
21-Nov-16,136.90,137.75,136.68,137.23,901936
18-Nov-16,136.90,137.08,135.60,136.08,1006778
17-Nov-16,138.04,138.63,136.91,137.10,706231
16-Nov-16,139.13,139.85,137.33,137.81,1080733
15-Nov-16,138.51,140.07,137.20,140.02,1351297
14-Nov-16,138.23,139.73,138.23,138.99,1648986
11-Nov-16,136.11,138.83,135.75,138.74,1844581
10-Nov-16,133.06,137.32,132.60,136.97,3409475
9-Nov-16,125.80,132.93,125.77,131.96,2536692
8-Nov-16,125.37,126.72,124.70,126.41,1134138
7-Nov-16,123.95,126.28,123.82,125.65,1686767
4-Nov-16,119.13,122.01,119.13,120.55,1023860
3-Nov-16,120.34,120.34,118.77,119.29,900901
2-Nov-16,121.02,121.56,119.43,119.88,1035182
1-Nov-16,123.43,123.58,120.15,121.18,1067920
31-Oct-16,122.34,123.18,121.84,122.75,743386
28-Oct-16,121.90,123.30,121.64,121.96,1277736
27-Oct-16,122.21,122.44,120.41,121.71,1126519
26-Oct-16,120.85,122.53,120.82,121.84,1138986
25-Oct-16,120.44,121.64,120.10,121.35,1113200
24-Oct-16,123.95,123.95,120.50,120.79,1442889
21-Oct-16,122.69,124.80,122.44,123.20,2081698
20-Oct-16,123.09,123.84,122.52,122.80,1871293
19-Oct-16,123.45,123.96,122.15,123.73,1294071
18-Oct-16,125.62,125.62,122.76,122.82,1127599
17-Oct-16,124.59,125.09,124.08,124.39,739904
14-Oct-16,123.97,125.21,123.97,124.54,803998
13-Oct-16,123.10,123.76,122.06,123.42,768618
12-Oct-16,123.27,124.54,123.00,123.93,738795
11-Oct-16,125.40,125.40,122.29,123.07,1005801
10-Oct-16,125.21,125.91,124.69,125.09,845444
7-Oct-16,125.99,126.69,123.24,124.66,1409993
6-Oct-16,126.92,127.10,126.04,126.92,1918232
5-Oct-16,125.56,128.24,124.48,127.41,2664658
4-Oct-16,124.31,124.77,123.03,123.65,3124848
3-Oct-16,125.35,126.08,124.19,124.70,1194913
30-Sep-16,124.36,126.59,124.36,125.53,1438406
29-Sep-16,124.20,125.67,123.51,123.99,815489
28-Sep-16,123.25,124.92,122.84,124.78,903760
27-Sep-16,120.91,122.92,120.60,122.69,734918
26-Sep-16,121.17,122.10,120.57,121.35,916483
23-Sep-16,123.75,123.75,121.80,121.93,715318
22-Sep-16,124.00,124.87,123.67,123.96,860934
21-Sep-16,122.83,123.66,122.28,123.45,702474
20-Sep-16,123.10,123.59,122.02,122.03,667839
19-Sep-16,122.22,123.33,121.95,122.39,603784
16-Sep-16,121.60,121.88,120.86,121.52,979773
15-Sep-16,120.98,123.03,120.17,122.56,1053259
14-Sep-16,120.76,121.83,120.44,120.85,507699
13-Sep-16,121.28,121.98,120.50,120.84,624548
12-Sep-16,119.88,123.26,119.25,122.86,958358
9-Sep-16,123.06,123.87,120.77,120.78,1071021
8-Sep-16,124.03,124.81,123.37,124.35,863549
7-Sep-16,123.07,124.32,122.95,124.14,912766
6-Sep-16,123.59,123.81,122.23,123.22,794825
2-Sep-16,123.50,124.33,123.08,123.51,913582
1-Sep-16,122.67,123.16,121.37,122.86,731886
31-Aug-16,122.75,123.08,122.08,122.53,754433
30-Aug-16,123.68,124.06,122.75,123.20,1118226
29-Aug-16,123.34,124.30,122.69,123.74,769226
26-Aug-16,123.96,125.00,122.73,123.24,684705
25-Aug-16,122.56,123.81,121.98,123.56,725297
24-Aug-16,124.18,124.26,123.11,123.32,864246
23-Aug-16,124.60,124.86,124.04,124.51,551199
22-Aug-16,123.82,124.63,123.57,124.07,646194
19-Aug-16,123.52,124.55,122.95,124.37,670551
18-Aug-16,124.56,124.85,123.52,124.04,1468406
17-Aug-16,123.97,124.84,123.70,124.36,1185699
16-Aug-16,123.84,124.60,123.44,124.11,802999
15-Aug-16,123.30,124.49,123.11,124.12,648210
12-Aug-16,123.47,123.53,122.32,122.81,651463
11-Aug-16,122.89,123.92,122.63,123.61,662633
10-Aug-16,122.47,122.72,121.83,122.17,560251
9-Aug-16,122.67,123.15,121.70,121.93,875115
8-Aug-16,121.43,122.93,121.26,122.67,1675511
5-Aug-16,119.75,121.17,119.55,121.11,1964622
4-Aug-16,118.10,120.99,117.72,118.96,2414780
