Date,Open,High,Low,Close,Volume
9-Dec-16,71.77,72.50,71.51,72.47,2169349
8-Dec-16,71.77,71.98,71.17,71.67,1986110
7-Dec-16,71.13,71.75,70.73,71.65,1827425
6-Dec-16,70.58,70.97,70.45,70.95,2285597
5-Dec-16,70.84,70.95,70.22,70.36,2771621
2-Dec-16,70.43,70.78,70.26,70.61,1903344
1-Dec-16,69.95,70.38,69.76,70.35,2329237
30-Nov-16,70.08,70.58,69.48,69.92,5911949
29-Nov-16,71.29,71.64,69.04,69.63,6665418
28-Nov-16,71.98,72.22,71.88,72.04,2040767
25-Nov-16,72.38,72.58,72.13,72.38,1971159
23-Nov-16,72.46,72.72,72.14,72.40,1853036
22-Nov-16,72.19,72.68,71.92,72.37,3863768
21-Nov-16,72.06,72.39,71.73,72.18,2651383
18-Nov-16,71.80,72.20,71.41,72.02,2998304
17-Nov-16,70.62,71.79,70.47,71.78,2792260
16-Nov-16,71.00,71.08,70.10,70.72,2453653
15-Nov-16,70.46,71.41,70.32,71.30,3334432
14-Nov-16,69.76,70.87,69.60,70.69,2673097
11-Nov-16,69.32,69.75,68.92,69.64,2270021
10-Nov-16,68.92,69.46,68.13,69.45,3288211
9-Nov-16,67.65,68.50,67.29,68.17,3230790
8-Nov-16,66.66,67.74,66.66,67.58,2373874
7-Nov-16,67.41,67.53,66.55,66.86,3430605
4-Nov-16,68.00,68.01,66.65,66.72,2981064
3-Nov-16,67.97,68.99,67.41,68.09,4516225
2-Nov-16,66.92,67.59,66.91,67.34,2867888
1-Nov-16,67.85,67.86,66.82,67.21,2763669
31-Oct-16,67.76,68.11,67.53,67.90,2271061
28-Oct-16,67.76,68.27,67.08,67.53,2435182
27-Oct-16,68.12,68.14,67.58,67.59,1366587
26-Oct-16,67.49,68.14,67.36,67.94,1437489
25-Oct-16,67.72,67.88,67.40,67.61,1114083
24-Oct-16,67.91,68.13,67.63,67.72,967104
21-Oct-16,67.82,67.98,67.23,67.55,2279190
20-Oct-16,68.96,69.12,68.20,68.23,2370364
19-Oct-16,69.38,69.48,68.80,69.43,1528601
18-Oct-16,69.86,69.94,69.19,69.29,1301182
17-Oct-16,69.34,69.59,69.21,69.34,1188199
14-Oct-16,69.47,69.82,69.33,69.33,2324272
13-Oct-16,68.41,69.23,68.28,69.09,1899482
12-Oct-16,68.28,69.13,68.16,69.04,1712452
11-Oct-16,68.31,68.46,67.89,68.20,1723922
10-Oct-16,68.79,68.96,68.44,68.49,1172189
7-Oct-16,67.97,69.04,67.91,68.43,2319456
6-Oct-16,67.86,67.93,67.18,67.77,2587437
5-Oct-16,68.12,68.43,67.70,67.81,1751604
4-Oct-16,68.17,68.27,67.12,67.84,3655309
3-Oct-16,68.90,69.06,68.29,68.40,2295207
30-Sep-16,68.83,69.38,68.82,69.18,2867210
29-Sep-16,68.78,69.29,68.43,68.64,2317866
28-Sep-16,69.00,69.14,68.62,69.10,1506424
27-Sep-16,68.33,69.09,68.27,68.98,1747874
26-Sep-16,68.25,68.62,68.12,68.39,1861044
23-Sep-16,68.56,68.93,68.34,68.49,1297205
22-Sep-16,68.84,69.06,68.73,68.94,1407253
21-Sep-16,67.97,68.71,67.97,68.66,1393505
20-Sep-16,67.84,68.17,67.73,67.87,1423391
19-Sep-16,67.58,67.90,67.32,67.46,1139502
16-Sep-16,67.56,67.77,67.24,67.41,2314236
15-Sep-16,67.36,68.05,67.27,67.82,1761550
14-Sep-16,67.90,68.05,67.29,67.39,1717844
13-Sep-16,67.93,68.28,67.72,67.92,1924588
12-Sep-16,67.96,68.70,67.68,68.48,1956563
9-Sep-16,68.81,68.90,67.96,67.96,1816211
8-Sep-16,69.29,69.38,69.06,69.22,1382500
7-Sep-16,69.05,69.48,68.94,69.44,1628030
6-Sep-16,68.70,69.31,68.60,69.31,1808968
2-Sep-16,68.85,69.25,68.52,68.95,1507288
1-Sep-16,68.97,69.08,68.32,68.66,1699016
31-Aug-16,69.19,69.24,68.49,68.96,2133039
30-Aug-16,68.96,69.23,68.81,69.17,1439360
29-Aug-16,68.27,68.92,68.14,68.74,1646995
26-Aug-16,68.73,68.88,68.07,68.32,1427686
25-Aug-16,68.22,68.68,68.12,68.54,1145126
24-Aug-16,68.31,68.45,68.16,68.26,1004507
23-Aug-16,68.91,69.14,68.36,68.36,1716246
22-Aug-16,69.04,69.05,68.78,68.87,1171355
19-Aug-16,69.13,69.42,69.03,69.17,1269417
18-Aug-16,69.16,69.55,69.07,69.44,1657033
17-Aug-16,68.95,69.16,68.66,69.12,2091658
16-Aug-16,68.91,69.47,68.91,68.95,1436756
15-Aug-16,69.13,69.45,69.01,69.39,1537651
12-Aug-16,69.06,69.25,68.84,69.13,903080
11-Aug-16,69.42,69.51,69.04,69.11,1796681
10-Aug-16,69.37,69.47,69.16,69.42,941826
9-Aug-16,69.17,69.50,69.00,69.37,1053054
8-Aug-16,68.84,69.18,68.71,69.17,2194491
5-Aug-16,68.72,68.97,68.50,68.84,1620169
4-Aug-16,67.99,69.24,67.99,68.62,2149815
3-Aug-16,68.28,68.71,68.18,68.63,2032739
2-Aug-16,68.33,68.55,68.02,68.11,1344354
1-Aug-16,68.44,68.57,68.03,68.39,1728884
29-Jul-16,68.91,68.98,68.10,68.33,2614574
28-Jul-16,68.84,69.37,68.64,69.17,903647
27-Jul-16,68.94,69.17,68.70,68.86,1322126
26-Jul-16,69.27,69.50,68.86,69.04,905738
25-Jul-16,69.16,69.30,69.00,69.22,1011698
22-Jul-16,69.07,69.31,68.98,69.20,1185569
21-Jul-16,69.07,69.12,68.80,68.89,1072127
20-Jul-16,69.27,69.30,68.99,69.10,865966
19-Jul-16,69.06,69.22,68.97,69.12,869390
18-Jul-16,69.59,69.75,69.28,69.35,1280424
15-Jul-16,69.46,69.70,69.35,69.49,1489993
14-Jul-16,69.62,69.92,69.25,69.31,1454451
13-Jul-16,69.71,69.75,69.22,69.28,2002685
12-Jul-16,70.25,70.38,69.58,69.60,2316878
11-Jul-16,69.66,70.12,69.51,69.94,1698173
8-Jul-16,69.68,69.69,69.06,69.66,1675561
7-Jul-16,69.45,69.77,68.79,68.94,1928906
6-Jul-16,69.12,69.68,69.05,69.46,2210319
5-Jul-16,69.29,69.75,69.04,69.31,2234850
1-Jul-16,69.95,69.95,69.48,69.56,1971627
30-Jun-16,68.54,69.95,68.52,69.95,2637984
29-Jun-16,67.99,68.53,67.53,68.47,3098337
28-Jun-16,66.65,67.74,66.33,67.73,3001505
27-Jun-16,65.74,66.28,65.27,66.06,3106576
24-Jun-16,65.58,66.98,65.32,66.26,3908808
23-Jun-16,67.61,67.86,67.42,67.86,2030630
