Date,Open,High,Low,Close,Volume
9-Dec-16,141.50,144.58,141.00,143.45,4638007
8-Dec-16,140.83,141.10,138.83,140.59,4387570
7-Dec-16,143.52,143.88,139.66,141.19,7031325
6-Dec-16,145.80,145.99,144.28,145.11,2399021
5-Dec-16,145.45,146.37,143.72,145.29,3855532
2-Dec-16,142.29,144.91,141.50,144.01,3517303
1-Dec-16,144.24,144.24,142.14,142.39,3893950
30-Nov-16,145.70,146.32,144.07,144.07,4296889
29-Nov-16,145.36,146.79,145.31,146.00,2939137
28-Nov-16,145.25,145.92,144.50,145.07,2411697
25-Nov-16,145.22,146.00,144.76,145.43,2004017
23-Nov-16,142.94,145.17,142.84,145.03,3217158
22-Nov-16,146.82,146.95,142.82,144.33,3586160
21-Nov-16,145.99,146.17,145.11,145.55,2860513
18-Nov-16,147.05,148.35,144.90,145.23,3764649
17-Nov-16,147.73,148.45,146.51,147.36,3951846
16-Nov-16,147.57,148.50,146.44,147.23,4108195
15-Nov-16,146.87,148.46,145.01,147.06,4515112
14-Nov-16,148.47,149.15,146.01,146.42,5059964
11-Nov-16,150.05,150.84,146.80,149.04,5159413
10-Nov-16,150.40,152.23,148.76,151.57,8933669
9-Nov-16,146.75,152.85,142.75,146.42,11793445
8-Nov-16,139.55,140.00,137.35,138.45,3668544
7-Nov-16,137.85,140.23,137.16,139.21,5146015
4-Nov-16,133.71,137.61,133.64,135.40,5051463
3-Nov-16,139.70,139.77,135.00,135.22,5791248
2-Nov-16,140.31,140.61,138.64,138.70,4622489
1-Nov-16,141.17,142.41,139.31,140.76,5589294
31-Oct-16,146.55,146.68,140.94,141.16,8693717
28-Oct-16,151.69,151.76,142.64,145.18,18311555
27-Oct-16,159.71,161.60,159.64,160.57,3366867
26-Oct-16,158.68,160.05,158.03,158.99,2716811
25-Oct-16,158.84,159.27,157.80,157.90,2414661
24-Oct-16,159.36,159.70,158.24,158.76,2920217
21-Oct-16,160.69,161.22,158.35,158.51,3540978
20-Oct-16,161.00,163.35,161.00,161.50,2922591
19-Oct-16,163.42,163.61,161.02,161.08,2502725
18-Oct-16,163.74,163.86,162.75,162.80,2001839
17-Oct-16,162.20,163.45,161.14,162.62,2348428
14-Oct-16,165.05,165.25,161.84,161.90,2817469
13-Oct-16,162.85,165.09,162.51,164.29,2430900
12-Oct-16,164.32,165.59,163.61,163.88,2251091
11-Oct-16,167.82,167.82,163.51,164.32,2761896
10-Oct-16,168.20,168.59,167.67,168.31,1628204
7-Oct-16,167.94,168.15,166.30,167.50,1679823
6-Oct-16,166.33,167.79,165.79,166.90,1904070
5-Oct-16,167.55,168.39,166.92,167.24,1953441
4-Oct-16,167.34,168.69,167.14,167.55,2797603
3-Oct-16,166.05,167.58,164.44,167.34,2514609
30-Sep-16,166.38,167.72,165.26,166.81,3999620
29-Sep-16,170.39,170.39,165.33,165.45,3803974
28-Sep-16,172.22,172.22,169.05,169.71,3300683
27-Sep-16,170.24,171.98,169.50,171.63,4798864
26-Sep-16,174.22,174.45,172.83,173.53,1798462
23-Sep-16,176.27,176.85,174.61,174.80,2238657
22-Sep-16,174.60,175.73,173.75,175.62,2338322
21-Sep-16,174.24,174.25,171.61,173.85,2516407
20-Sep-16,172.94,174.26,172.46,173.38,2607730
19-Sep-16,173.25,173.50,171.18,171.38,2226821
16-Sep-16,172.59,173.39,171.05,172.96,4028315
15-Sep-16,170.04,173.39,169.47,172.64,2931367
14-Sep-16,169.65,171.77,169.50,170.14,2808627
13-Sep-16,171.24,171.50,167.81,169.30,3162609
12-Sep-16,166.08,172.58,165.93,172.04,4451546
9-Sep-16,169.69,169.76,166.53,166.55,3131402
8-Sep-16,170.07,171.36,169.73,170.97,2611176
7-Sep-16,169.78,171.44,169.20,170.63,2013680
6-Sep-16,169.85,171.77,169.39,170.84,1919702
2-Sep-16,170.55,171.05,168.91,169.77,2073588
1-Sep-16,170.55,170.56,168.62,170.13,1876141
31-Aug-16,170.73,171.39,169.82,170.06,2936441
30-Aug-16,171.16,171.94,170.12,170.76,1803720
29-Aug-16,172.37,172.50,171.12,171.51,2512225
26-Aug-16,170.80,172.99,169.76,171.97,2925290
25-Aug-16,169.92,171.46,168.76,170.23,2623837
24-Aug-16,174.00,174.87,170.28,170.84,3054987
23-Aug-16,174.44,175.99,173.66,174.40,2376537
22-Aug-16,173.74,175.18,173.22,174.35,2603742
19-Aug-16,174.10,174.96,172.26,173.62,2696372
18-Aug-16,174.43,176.64,173.57,174.75,3422571
17-Aug-16,172.01,174.50,171.68,174.31,2580941
16-Aug-16,174.54,174.91,172.07,172.16,2622818
15-Aug-16,171.48,174.72,171.48,174.58,2784334
12-Aug-16,171.24,173.15,170.68,173.02,1863171
11-Aug-16,172.24,172.78,171.05,172.43,2142821
10-Aug-16,171.89,172.20,170.71,171.23,2476560
9-Aug-16,172.66,173.30,171.68,172.08,2094672
8-Aug-16,173.31,174.16,171.83,172.34,2706525
5-Aug-16,173.35,174.52,172.51,173.66,2228857
4-Aug-16,173.30,173.67,172.04,172.67,2122162
3-Aug-16,173.74,174.39,172.28,173.43,3911777
2-Aug-16,175.05,176.50,173.17,174.15,6588988
1-Aug-16,172.91,174.98,172.28,174.16,3571929
29-Jul-16,171.57,172.26,170.53,172.03,3121594
28-Jul-16,168.93,171.80,166.51,171.28,5192503
27-Jul-16,167.45,171.09,167.44,170.68,4200156
26-Jul-16,165.89,168.05,165.76,167.67,2883618
25-Jul-16,165.70,166.95,164.07,166.56,2704894
22-Jul-16,164.78,166.33,164.00,165.67,2500362
21-Jul-16,163.39,164.26,162.71,164.19,1971762
20-Jul-16,162.45,163.65,161.82,163.25,2161425
19-Jul-16,163.20,164.71,161.94,162.49,2249524
18-Jul-16,163.82,164.00,162.79,162.93,1815610
15-Jul-16,163.45,164.57,161.56,163.28,3179693
14-Jul-16,162.00,162.99,160.74,162.74,2444804
13-Jul-16,162.64,162.66,160.31,160.52,2691810
12-Jul-16,160.62,162.28,160.51,161.96,2407151
11-Jul-16,161.36,162.32,160.00,160.18,2464686
8-Jul-16,157.62,161.11,156.20,161.10,3741504
7-Jul-16,155.86,156.76,155.25,156.59,2437062
6-Jul-16,153.44,156.82,152.95,156.05,3833950
5-Jul-16,154.29,154.94,153.38,154.27,2349082
1-Jul-16,152.43,154.95,152.25,154.28,2758071
30-Jun-16,150.83,152.43,149.83,152.15,3480735
29-Jun-16,149.11,150.75,148.63,150.10,3771073
28-Jun-16,145.89,148.42,145.60,148.42,4348004
27-Jun-16,146.16,147.07,143.82,144.58,4208811
24-Jun-16,147.20,149.30,146.03,146.45,4919244
23-Jun-16,151.21,152.40,150.63,152.27,3000423
22-Jun-16,149.08,152.18,149.00,149.81,4470133
21-Jun-16,151.14,151.47,148.50,149.42,2622241
20-Jun-16,151.79,152.69,150.36,150.65,3250483
17-Jun-16,152.61,152.76,149.55,149.62,4682336
16-Jun-16,151.68,152.90,150.70,152.30,2322388
15-Jun-16,153.13,154.08,151.82,151.90,2443679
14-Jun-16,152.74,153.48,151.64,152.99,2115240
13-Jun-16,155.06,156.12,152.99,153.08,2340347
10-Jun-16,155.26,156.32,153.64,154.78,2626053
9-Jun-16,157.76,158.98,156.00,156.78,2383214
8-Jun-16,158.48,158.94,157.54,158.00,2475994
7-Jun-16,159.13,159.64,158.28,158.89,1896652
6-Jun-16,159.58,160.75,158.89,160.19,1897638
3-Jun-16,159.86,159.99,156.82,159.19,2149342
2-Jun-16,158.23,159.87,157.95,159.87,2386956
1-Jun-16,157.61,158.84,156.67,158.05,1717157
31-May-16,157.42,158.43,156.86,157.95,3204387
27-May-16,156.20,156.88,155.11,156.74,1364043
26-May-16,154.92,156.28,154.55,155.55,1707611
25-May-16,153.54,155.84,153.15,155.57,3053093
24-May-16,150.71,152.94,150.39,152.72,2579243
23-May-16,150.04,150.75,149.15,149.30,1533459
20-May-16,148.92,151.71,148.65,150.18,3075759
19-May-16,149.45,150.22,147.12,148.67,3014279
18-May-16,149.91,151.43,149.21,150.83,3221981
17-May-16,152.45,152.91,149.44,150.11,4481037
16-May-16,152.35,153.86,151.70,153.27,2406482
13-May-16,151.22,154.08,151.22,152.35,2357576
12-May-16,154.68,155.00,151.97,152.90,2959386
11-May-16,157.73,158.25,154.09,154.18,2727703
10-May-16,155.95,157.50,154.95,157.24,2583223
9-May-16,153.70,156.08,153.02,155.41,2987063
6-May-16,153.49,154.45,151.36,153.19,3003357
5-May-16,154.13,156.21,153.36,154.25,2324353
4-May-16,155.28,155.86,153.53,154.18,3045571
3-May-16,158.37,158.46,156.00,156.35,2844130
2-May-16,158.62,159.42,157.21,158.99,2431534
29-Apr-16,159.39,161.92,156.38,158.30,5381625
28-Apr-16,160.22,163.68,159.36,160.56,3340038
27-Apr-16,162.72,162.90,160.50,161.00,2705655
26-Apr-16,163.39,163.91,162.02,162.85,2155279
25-Apr-16,163.15,163.74,162.24,163.46,1595342
22-Apr-16,164.52,164.70,162.18,163.19,2740114
21-Apr-16,162.44,164.54,162.03,164.35,2345626
20-Apr-16,163.02,163.84,161.80,162.76,2374293
19-Apr-16,160.80,162.50,160.34,162.10,2517762
18-Apr-16,159.49,162.10,159.40,161.70,2078235
15-Apr-16,160.15,160.39,158.46,160.13,2819900
14-Apr-16,159.81,160.77,159.37,160.12,2404738
13-Apr-16,159.02,160.89,158.23,160.06,3849478
12-Apr-16,156.14,159.20,156.11,158.60,2737367
11-Apr-16,156.40,157.75,155.28,156.39,2726832
8-Apr-16,158.24,159.00,155.42,156.46,2509309
7-Apr-16,159.05,159.98,156.57,157.38,3295589
6-Apr-16,154.24,159.85,153.52,159.66,4012464
5-Apr-16,153.68,155.16,152.62,152.95,2604643
4-Apr-16,154.00,155.96,153.70,154.66,2307609
1-Apr-16,150.02,154.44,149.10,154.16,3961950
31-Mar-16,149.33,150.96,149.13,149.93,2791348
30-Mar-16,149.61,150.88,148.30,149.48,2323153
29-Mar-16,148.46,149.69,146.80,149.49,2540158
28-Mar-16,149.32,150.36,147.32,148.37,2106841
24-Mar-16,148.76,150.95,147.60,149.24,2913649
23-Mar-16,150.31,151.91,148.14,148.76,3070516
22-Mar-16,147.05,150.99,146.83,150.62,4204172
21-Mar-16,145.30,147.95,145.02,147.01,3176841
18-Mar-16,144.97,146.40,142.51,145.51,6794181
17-Mar-16,143.72,145.80,141.84,144.13,4876095
16-Mar-16,143.00,147.00,141.93,143.98,6080500
15-Mar-16,144.84,145.30,142.80,143.21,3034212
14-Mar-16,143.86,145.31,143.19,144.62,3009893
11-Mar-16,142.95,144.99,142.17,144.57,4846313
10-Mar-16,142.06,143.48,139.02,141.03,4572868
9-Mar-16,144.00,144.08,139.91,140.90,6046873
8-Mar-16,146.89,147.00,144.32,144.63,3038239
7-Mar-16,144.98,147.87,144.76,147.31,3278768
4-Mar-16,147.03,147.30,144.54,145.98,3460282
3-Mar-16,147.22,147.29,145.32,145.84,2988873
2-Mar-16,148.00,148.63,146.21,147.49,3689909
1-Mar-16,144.30,148.45,142.28,148.39,4457841
29-Feb-16,146.96,147.67,142.22,142.28,4866290
26-Feb-16,148.51,149.50,146.95,147.60,3409819
25-Feb-16,147.36,148.39,145.26,146.75,3429641
24-Feb-16,145.50,147.27,143.91,147.11,3314827
23-Feb-16,148.15,149.72,146.86,147.26,3289540
22-Feb-16,148.72,149.77,146.94,148.56,4568961
19-Feb-16,148.98,151.76,148.26,150.12,2793249
18-Feb-16,150.79,152.36,149.08,149.30,2847404
17-Feb-16,148.30,151.52,147.40,151.07,3768249
16-Feb-16,146.89,148.06,145.68,147.15,3322194
12-Feb-16,143.13,144.97,141.14,144.72,3191964
11-Feb-16,140.76,143.48,140.04,141.46,4345158
10-Feb-16,145.21,147.13,143.96,144.81,4268255
9-Feb-16,141.02,145.63,140.82,143.16,4135137
8-Feb-16,143.50,144.56,140.16,143.00,4585976
5-Feb-16,148.93,149.38,143.69,145.04,6386643
4-Feb-16,150.50,151.96,148.80,149.91,3655119
3-Feb-16,150.50,151.18,147.07,150.69,4529556
2-Feb-16,150.48,151.49,148.48,150.11,3719312
1-Feb-16,151.31,153.72,149.34,152.75,4576438
29-Jan-16,149.40,153.00,145.25,152.73,7147530
28-Jan-16,151.10,151.71,145.42,148.35,4225691
27-Jan-16,154.89,154.89,148.87,150.47,3687500
26-Jan-16,152.78,155.23,151.09,153.78,3644102
25-Jan-16,156.18,158.00,153.00,153.43,4727003
22-Jan-16,156.45,156.96,154.24,156.08,4570960
21-Jan-16,154.75,155.02,150.24,152.78,4672604
20-Jan-16,149.00,156.84,148.05,155.02,7290132
19-Jan-16,153.45,154.62,148.23,151.30,4354768
15-Jan-16,147.69,152.30,147.69,151.30,6175763
14-Jan-16,146.02,155.30,144.57,153.16,5615552
13-Jan-16,151.14,152.83,145.28,145.46,3900002
12-Jan-16,148.43,151.24,146.92,150.79,4410621
11-Jan-16,151.33,151.59,144.17,147.69,4747429
8-Jan-16,153.12,154.86,150.46,150.70,4179560
7-Jan-16,153.06,156.45,152.89,152.98,4162456
