Date,Open,High,Low,Close,Volume
9-Dec-16,54.50,54.51,53.77,54.20,6003054
8-Dec-16,53.76,54.49,53.33,54.43,9037456
7-Dec-16,54.02,54.50,52.89,53.54,8987054
6-Dec-16,53.25,54.27,52.91,54.02,9056078
5-Dec-16,54.38,54.74,53.72,53.90,9235259
2-Dec-16,53.25,54.52,53.11,54.17,7174924
1-Dec-16,54.08,54.80,53.19,53.24,11775343
30-Nov-16,51.68,54.92,50.82,53.09,32232006
29-Nov-16,47.79,48.49,47.06,47.79,12331967
28-Nov-16,49.64,49.73,48.68,48.80,6968496
25-Nov-16,49.27,49.52,48.90,49.51,2736261
23-Nov-16,49.42,50.01,49.35,49.47,3987383
22-Nov-16,50.43,50.49,49.07,49.84,7699549
21-Nov-16,50.04,50.45,49.71,50.10,8011232
18-Nov-16,48.86,49.49,48.76,49.31,6662999
17-Nov-16,49.38,49.78,48.22,48.60,7953820
16-Nov-16,49.33,49.69,48.58,48.76,7835213
15-Nov-16,48.52,49.90,48.50,49.76,11770261
14-Nov-16,47.61,48.54,47.34,48.14,8395484
11-Nov-16,48.35,48.61,47.21,48.01,7635120
10-Nov-16,47.69,48.99,47.57,48.81,11520095
9-Nov-16,47.46,48.24,47.12,47.82,12189753
8-Nov-16,47.08,47.70,46.91,47.12,5320314
7-Nov-16,46.81,47.46,46.81,47.44,5504441
4-Nov-16,46.46,46.84,45.75,46.38,7031649
3-Nov-16,45.94,46.61,45.84,46.58,7378022
2-Nov-16,45.51,46.22,45.08,45.93,8158125
1-Nov-16,46.37,46.68,45.36,46.23,6869875
31-Oct-16,46.42,46.68,45.90,46.00,7931220
28-Oct-16,47.60,47.80,46.06,46.58,10410954
27-Oct-16,47.90,48.25,47.50,47.55,6001169
26-Oct-16,47.21,48.50,46.85,47.62,8619686
25-Oct-16,48.22,48.84,47.56,47.77,7760241
24-Oct-16,48.54,48.69,47.76,48.24,7399113
21-Oct-16,48.36,48.78,48.09,48.43,6658976
20-Oct-16,48.89,49.51,48.43,48.75,8613046
19-Oct-16,47.70,50.23,47.70,49.07,19236464
18-Oct-16,46.97,47.28,46.30,47.07,9834054
17-Oct-16,46.95,47.35,45.98,46.32,8169273
14-Oct-16,47.46,47.83,46.84,46.97,7353354
13-Oct-16,46.38,47.96,46.12,47.02,7327918
12-Oct-16,46.64,47.18,46.25,46.96,7565457
11-Oct-16,46.91,47.17,46.29,46.64,9504979
10-Oct-16,46.79,47.64,46.76,47.26,8799420
7-Oct-16,46.38,46.85,45.98,46.26,7014466
6-Oct-16,46.04,46.40,45.55,46.37,7624049
5-Oct-16,45.20,46.07,44.94,45.72,7529489
4-Oct-16,44.91,45.00,44.23,44.59,5035852
3-Oct-16,45.11,45.19,44.54,44.90,6221416
30-Sep-16,44.54,45.08,44.07,44.88,9195272
29-Sep-16,42.89,44.72,42.89,44.18,15139033
28-Sep-16,41.11,42.96,40.45,42.79,12551927
27-Sep-16,40.92,41.08,40.12,40.95,11842888
26-Sep-16,41.98,42.31,41.18,41.38,9322495
23-Sep-16,42.29,43.04,41.67,41.84,7191650
22-Sep-16,43.25,43.63,42.60,42.65,5924896
21-Sep-16,41.67,42.84,41.60,42.72,7610232
20-Sep-16,41.31,41.63,41.01,41.26,7771268
19-Sep-16,41.46,41.86,41.27,41.28,6836504
16-Sep-16,40.77,41.35,40.74,41.04,9673245
15-Sep-16,41.39,42.12,41.21,41.77,6862951
14-Sep-16,40.85,41.73,40.63,41.26,8061051
13-Sep-16,41.81,41.96,40.60,41.11,11877326
12-Sep-16,41.60,42.74,41.52,42.40,6986444
9-Sep-16,43.72,43.76,41.95,41.95,9519967
