Date,Open,High,Low,Close,Volume
9-Dec-16,79.19,79.43,78.35,78.60,1612014
8-Dec-16,78.47,79.28,76.78,78.94,2863388
7-Dec-16,77.30,78.65,76.86,78.59,1395282
6-Dec-16,76.27,77.45,75.76,77.25,2109789
5-Dec-16,75.60,76.73,75.45,76.71,1677947
2-Dec-16,75.70,75.83,74.99,75.04,1667086
1-Dec-16,73.86,75.84,73.56,75.79,1994889
30-Nov-16,72.85,73.50,72.65,73.30,2509785
29-Nov-16,73.00,73.03,72.26,72.88,2354370
28-Nov-16,74.24,74.61,73.67,73.93,1084777
25-Nov-16,74.90,74.99,74.50,74.95,278735
23-Nov-16,73.98,74.73,73.81,74.49,782322
22-Nov-16,73.16,74.47,73.16,74.00,2470085
21-Nov-16,72.66,73.19,72.61,73.14,1312932
18-Nov-16,72.44,72.85,71.92,72.84,1396795
17-Nov-16,71.52,72.56,70.97,72.47,2041225
16-Nov-16,72.75,72.80,71.55,71.60,2667881
15-Nov-16,72.49,73.28,72.01,73.07,3026302
14-Nov-16,70.45,72.57,70.34,72.51,2745539
11-Nov-16,69.21,70.19,69.00,70.12,2293775
10-Nov-16,68.60,70.00,68.51,69.31,2985645
9-Nov-16,64.90,68.90,64.54,68.58,2978676
8-Nov-16,65.31,65.82,65.00,65.61,1250274
7-Nov-16,64.43,65.56,64.43,65.50,1405614
4-Nov-16,63.69,64.46,63.26,63.86,1764778
3-Nov-16,64.64,64.94,63.68,63.80,1897338
2-Nov-16,64.26,65.27,64.14,64.62,1640517
1-Nov-16,64.54,65.17,64.11,64.34,1943437
31-Oct-16,62.97,64.87,62.94,64.79,2386589
28-Oct-16,61.67,62.84,61.49,62.61,947696
27-Oct-16,61.33,61.92,61.29,61.52,679521
26-Oct-16,61.40,61.99,60.97,61.16,1921872
25-Oct-16,62.67,62.75,61.29,61.72,1801326
24-Oct-16,63.27,63.44,63.02,63.31,1050802
21-Oct-16,62.98,63.42,62.69,63.07,1104868
20-Oct-16,63.07,63.34,62.56,62.88,2422801
19-Oct-16,63.22,63.45,62.78,63.37,1132095
18-Oct-16,63.41,63.61,62.75,63.03,1204590
17-Oct-16,62.26,63.95,62.26,62.57,1814282
14-Oct-16,62.25,62.88,62.20,62.23,861551
13-Oct-16,62.54,62.59,62.09,62.18,972531
12-Oct-16,62.53,63.16,62.18,62.80,1386264
11-Oct-16,62.55,62.70,61.97,62.40,1745048
10-Oct-16,61.82,62.57,61.66,62.36,1459386
7-Oct-16,61.27,61.76,61.04,61.63,1607093
6-Oct-16,61.40,61.60,60.69,60.95,1626757
5-Oct-16,61.54,62.22,61.32,61.56,2613147
4-Oct-16,63.60,63.90,61.29,61.72,6514987
3-Oct-16,60.86,61.48,60.16,61.36,3757656
30-Sep-16,60.61,61.50,60.61,61.32,2300325
29-Sep-16,61.06,61.43,60.63,60.63,1125526
28-Sep-16,61.38,61.61,60.50,61.14,2051460
27-Sep-16,62.63,62.73,61.25,61.52,1587447
26-Sep-16,62.80,63.09,62.42,62.47,1273667
23-Sep-16,61.68,63.41,61.68,63.05,1704297
22-Sep-16,62.49,62.82,61.92,61.99,1115923
21-Sep-16,61.39,62.43,61.39,62.36,1121431
20-Sep-16,61.70,61.91,61.31,61.48,818711
19-Sep-16,62.22,62.35,61.30,61.39,721507
16-Sep-16,62.16,62.25,61.84,61.95,2940965
15-Sep-16,61.56,62.16,61.22,62.12,1576447
14-Sep-16,62.29,62.32,61.33,61.67,1649638
13-Sep-16,62.74,62.81,62.10,62.60,1311975
12-Sep-16,61.56,63.14,61.55,63.06,2066037
