Date,Open,High,Low,Close,Volume
9-Dec-16,78.88,80.54,78.74,80.13,6730134
8-Dec-16,80.53,80.56,77.39,78.11,16110175
7-Dec-16,79.24,80.61,78.49,80.53,10532906
6-Dec-16,78.60,79.78,78.26,79.42,9800737
5-Dec-16,77.57,78.28,76.88,77.99,9173870
2-Dec-16,77.13,78.31,76.35,77.62,11911301
1-Dec-16,76.62,77.12,76.28,76.76,7316319
30-Nov-16,76.19,77.37,75.92,76.89,12781802
29-Nov-16,75.89,76.07,75.00,75.88,8649575
28-Nov-16,73.73,75.00,73.66,74.78,8625052
25-Nov-16,74.01,74.29,73.55,74.06,3529190
23-Nov-16,73.38,74.02,72.86,73.67,6597804
22-Nov-16,72.93,74.10,72.83,73.59,12425189
21-Nov-16,73.60,74.48,73.38,74.20,8025633
18-Nov-16,74.03,74.56,73.67,74.04,7498481
17-Nov-16,74.35,74.73,74.12,74.27,8305410
16-Nov-16,75.11,75.40,74.50,74.56,7551080
15-Nov-16,75.65,75.75,74.27,75.04,10465199
14-Nov-16,74.45,76.54,74.45,76.00,10521868
11-Nov-16,77.10,77.20,74.71,75.09,9565784
10-Nov-16,77.03,77.70,76.56,77.28,12664508
9-Nov-16,74.23,77.12,74.20,76.56,20300134
8-Nov-16,69.70,74.99,69.30,73.53,50234379
7-Nov-16,83.37,83.84,82.67,83.39,8457008
4-Nov-16,81.76,82.87,81.59,82.31,8227429
3-Nov-16,84.34,84.89,81.25,81.57,12603905
2-Nov-16,83.57,84.24,82.84,83.95,6132059
1-Nov-16,84.34,84.69,83.22,83.45,6212443
31-Oct-16,83.38,84.52,83.10,84.10,7425600
28-Oct-16,85.35,85.49,82.55,83.36,17206730
27-Oct-16,87.72,87.93,86.91,87.19,3570561
26-Oct-16,87.48,87.65,87.01,87.57,3313468
25-Oct-16,87.80,88.21,87.29,87.41,3803722
24-Oct-16,87.64,88.58,87.64,88.00,4541879
21-Oct-16,86.94,87.57,86.89,87.41,4599539
20-Oct-16,86.33,87.49,86.25,87.30,7583493
19-Oct-16,87.40,87.51,86.15,86.40,6502788
18-Oct-16,87.31,87.51,86.58,87.19,4988710
17-Oct-16,88.71,88.84,86.64,86.66,7381666
14-Oct-16,88.31,88.92,87.96,88.80,6705822
13-Oct-16,87.21,88.38,87.08,88.00,6308438
12-Oct-16,86.62,87.91,86.49,87.47,7002540
