Date,Open,High,Low,Close,Volume
9-Dec-16,79.41,79.84,79.17,79.71,1618871
8-Dec-16,78.50,79.32,78.30,79.29,2054587
7-Dec-16,77.83,79.01,77.53,78.33,2564515
6-Dec-16,77.41,77.60,76.85,77.46,2510010
5-Dec-16,76.38,77.62,76.00,77.16,2759689
2-Dec-16,76.12,76.72,75.68,75.84,2007407
1-Dec-16,77.43,77.56,75.30,75.91,2188532
30-Nov-16,78.83,79.63,77.67,77.70,2557583
29-Nov-16,78.57,79.04,78.24,78.61,1648151
28-Nov-16,78.17,79.30,77.87,78.44,1571728
25-Nov-16,78.00,78.78,78.00,78.65,834686
23-Nov-16,77.61,78.40,77.61,77.78,1212996
22-Nov-16,77.90,78.03,77.46,77.73,1685959
21-Nov-16,77.77,78.22,77.48,77.82,1330779
18-Nov-16,77.86,78.04,77.37,77.41,2023079
17-Nov-16,77.48,78.59,76.84,78.11,2316077
16-Nov-16,77.63,77.80,76.65,77.01,2254026
15-Nov-16,78.17,78.99,77.61,77.75,2839599
14-Nov-16,78.33,78.36,77.19,77.60,1971086
11-Nov-16,78.02,78.99,77.12,78.36,2290513
10-Nov-16,80.16,80.19,78.10,78.21,2854139
9-Nov-16,78.90,80.52,77.74,80.39,2496110
8-Nov-16,80.45,81.02,80.14,80.31,1959097
7-Nov-16,80.07,80.77,79.20,80.56,1683147
4-Nov-16,79.60,80.46,79.01,79.02,1907007
3-Nov-16,81.31,81.43,79.44,79.57,3706302
2-Nov-16,83.27,84.63,81.16,81.60,6825094
1-Nov-16,87.35,87.57,85.82,86.30,1980633
31-Oct-16,86.51,87.72,86.39,87.13,1763026
28-Oct-16,86.13,86.92,86.01,86.41,1419956
27-Oct-16,86.12,86.14,85.28,85.92,1035301
26-Oct-16,85.89,86.24,85.58,85.76,1488168
25-Oct-16,86.74,87.02,86.11,86.18,1254742
24-Oct-16,86.44,86.75,86.21,86.63,1616808
21-Oct-16,86.09,86.62,85.45,86.51,1527324
20-Oct-16,87.42,87.69,86.15,86.30,1729753
19-Oct-16,87.60,87.89,87.21,87.60,1185119
18-Oct-16,88.00,88.09,87.58,87.67,1107725
17-Oct-16,87.20,88.01,87.20,87.54,1300756
14-Oct-16,87.49,88.49,87.18,87.33,2200158
13-Oct-16,87.37,88.53,87.13,88.15,1227625
12-Oct-16,87.52,88.58,87.23,88.18,1376950
11-Oct-16,87.34,87.67,87.00,87.28,1361442
10-Oct-16,88.22,88.45,87.39,87.53,1246495
7-Oct-16,88.27,88.52,87.26,87.83,763707
6-Oct-16,87.77,88.74,87.70,88.31,1048992
5-Oct-16,87.46,88.15,87.34,87.95,1274102
4-Oct-16,88.43,88.46,87.21,87.43,901392
3-Oct-16,88.41,88.56,87.53,88.07,1220108
30-Sep-16,87.14,88.90,87.14,88.56,1952476
29-Sep-16,88.34,88.50,86.57,86.87,1771599
28-Sep-16,89.45,89.76,88.02,88.45,1569812
27-Sep-16,88.53,89.59,88.37,89.39,1726066
26-Sep-16,87.76,88.70,87.73,88.32,1758708
23-Sep-16,88.39,88.78,88.15,88.15,1288966
22-Sep-16,88.71,89.17,88.42,88.74,1317514
21-Sep-16,87.41,88.34,87.09,88.25,1424461
20-Sep-16,87.85,88.19,87.29,87.30,1242174
19-Sep-16,88.08,88.48,87.37,87.38,1236786
16-Sep-16,87.49,88.03,87.31,87.72,1752585
15-Sep-16,87.57,88.11,87.05,87.86,1486465
14-Sep-16,88.06,88.62,87.29,87.51,1266339
13-Sep-16,88.05,88.25,87.05,87.84,2478331
12-Sep-16,87.54,88.89,87.25,88.77,2384893
9-Sep-16,87.15,88.02,86.85,87.55,3693499
8-Sep-16,88.00,88.54,87.50,88.09,2946028
7-Sep-16,89.11,89.22,88.00,88.21,2276987
6-Sep-16,89.51,90.10,88.70,89.47,1289552
2-Sep-16,89.59,90.00,89.41,89.62,1014359
1-Sep-16,89.43,89.50,88.34,88.95,1998994
31-Aug-16,89.74,89.88,88.75,89.23,2352337
30-Aug-16,90.83,90.98,89.77,89.87,1373933
29-Aug-16,90.65,91.18,90.59,90.86,954330
26-Aug-16,91.19,91.81,90.26,90.91,1471023
25-Aug-16,90.56,91.77,90.30,91.23,1419420
24-Aug-16,91.37,91.57,90.19,90.50,2038675
23-Aug-16,91.65,92.27,91.45,91.57,1382971
22-Aug-16,90.89,92.95,90.10,91.38,2744680
19-Aug-16,91.89,93.25,91.06,91.73,5640769
18-Aug-16,93.18,95.38,92.96,95.10,3520724
17-Aug-16,92.64,93.20,92.08,93.02,2013764
16-Aug-16,92.77,92.96,91.95,92.42,1412500
15-Aug-16,93.09,93.82,93.07,93.20,1406479
12-Aug-16,92.64,93.64,92.17,93.10,1470954
11-Aug-16,92.96,93.24,91.76,92.53,2074628
10-Aug-16,93.29,93.41,92.72,92.91,1282454
9-Aug-16,93.49,94.06,93.31,93.34,990088
8-Aug-16,93.57,93.64,93.11,93.29,1260070
5-Aug-16,93.67,94.19,92.49,93.58,1760300
4-Aug-16,93.79,94.27,93.32,93.68,1721352
3-Aug-16,93.05,93.89,92.67,93.84,1410672
2-Aug-16,93.73,94.04,92.74,93.27,1255253
1-Aug-16,92.81,94.22,92.81,93.43,1185002
29-Jul-16,91.90,93.15,91.90,92.90,1097046
28-Jul-16,92.56,92.88,92.01,92.11,1273698
27-Jul-16,93.04,93.04,92.13,92.41,1097395
26-Jul-16,93.07,94.05,92.76,93.05,909373
25-Jul-16,92.98,93.25,92.49,93.17,740987
22-Jul-16,93.06,93.34,92.87,93.23,716133
21-Jul-16,93.22,93.63,92.64,92.86,1009469
20-Jul-16,93.49,94.07,93.32,93.50,832418
19-Jul-16,93.41,93.76,93.12,93.49,856931
18-Jul-16,94.39,94.39,93.58,93.97,1200861
15-Jul-16,94.53,94.94,94.14,94.40,1098339
14-Jul-16,93.69,94.28,93.53,94.03,1199886
13-Jul-16,93.28,93.58,92.94,93.30,869506
12-Jul-16,93.29,93.59,92.77,93.29,1205957
11-Jul-16,92.69,93.50,92.66,93.28,839803
8-Jul-16,92.00,93.17,91.83,93.01,1283007
7-Jul-16,91.00,91.75,91.00,91.55,1111878
6-Jul-16,90.74,91.28,90.31,91.03,1535963
5-Jul-16,91.45,92.16,91.03,91.32,1685404
1-Jul-16,91.25,92.42,91.16,91.82,1541020
