Date,Open,High,Low,Close,Volume
9-Dec-16,56.44,57.19,56.34,57.16,1520841
8-Dec-16,55.97,56.67,55.65,56.47,1179003
7-Dec-16,55.57,56.44,55.57,56.31,2851497
6-Dec-16,55.79,55.88,55.36,55.42,1241544
5-Dec-16,55.40,55.70,54.96,55.69,1515386
2-Dec-16,55.78,56.42,55.36,55.64,1770258
1-Dec-16,55.51,55.71,55.13,55.38,1854511
30-Nov-16,57.45,57.45,56.00,56.01,3693097
29-Nov-16,57.98,58.50,57.83,58.03,2126897
28-Nov-16,56.66,58.18,56.65,58.04,1812909
25-Nov-16,55.91,56.71,55.88,56.56,662139
23-Nov-16,55.84,56.52,55.60,55.72,1057229
22-Nov-16,56.17,56.80,55.69,56.59,1765013
21-Nov-16,55.50,56.01,55.43,56.01,1575985
18-Nov-16,55.42,55.84,55.26,55.53,2456704
17-Nov-16,54.90,55.53,54.90,55.53,1486509
16-Nov-16,55.70,56.10,54.83,55.14,1230678
15-Nov-16,54.89,55.68,54.83,55.58,2325322
14-Nov-16,54.57,54.70,54.24,54.58,2689470
11-Nov-16,55.40,55.93,54.69,54.95,2598479
10-Nov-16,56.00,56.32,53.66,55.45,4371948
9-Nov-16,57.66,57.66,56.14,56.23,3228177
8-Nov-16,58.90,59.44,58.61,59.01,1926568
7-Nov-16,58.01,58.59,57.02,58.58,2600216
4-Nov-16,58.65,59.00,57.66,57.72,2101801
3-Nov-16,57.83,58.50,57.55,58.24,1279375
2-Nov-16,58.40,58.40,57.38,57.98,1922868
1-Nov-16,59.70,59.74,58.39,58.52,1654732
31-Oct-16,58.77,60.13,58.64,59.72,1855967
28-Oct-16,58.29,58.88,58.22,58.52,1515567
27-Oct-16,58.88,58.88,57.98,58.29,2328866
26-Oct-16,58.22,59.17,57.88,58.83,2266205
25-Oct-16,57.68,58.15,57.64,58.13,1849298
24-Oct-16,57.99,58.12,57.50,57.80,1348588
21-Oct-16,57.76,58.06,57.45,57.69,1487020
20-Oct-16,58.24,58.54,57.87,58.06,1663209
19-Oct-16,58.25,58.39,57.80,58.18,1413971
18-Oct-16,58.34,58.60,57.54,58.30,1489474
17-Oct-16,57.88,58.24,57.88,58.04,1514322
14-Oct-16,57.94,58.36,57.64,57.74,1647780
13-Oct-16,57.35,58.60,57.35,58.18,2018999
12-Oct-16,56.74,57.57,56.74,57.42,1597407
11-Oct-16,57.15,57.31,56.46,56.59,2672376
10-Oct-16,57.28,57.61,57.01,57.39,1555700
7-Oct-16,57.76,58.26,57.03,57.09,2110488
6-Oct-16,57.00,57.52,56.66,57.31,1692570
5-Oct-16,57.40,58.18,57.06,57.30,2929107
4-Oct-16,58.89,59.05,57.00,57.43,3239433
3-Oct-16,59.86,59.86,58.71,59.03,1798980
30-Sep-16,60.50,60.87,59.54,59.88,2245345
29-Sep-16,61.08,61.11,59.94,60.38,1736800
28-Sep-16,61.90,61.91,60.87,61.31,1626724
27-Sep-16,63.01,63.35,61.60,61.68,1760645
26-Sep-16,62.82,63.07,62.51,62.76,1481296
23-Sep-16,62.61,63.20,62.34,62.97,1527462
22-Sep-16,62.69,62.99,62.34,62.81,1055510
21-Sep-16,61.40,62.52,61.10,62.50,1321466
20-Sep-16,61.61,61.85,61.21,61.26,1591118
19-Sep-16,60.99,61.51,60.80,61.47,1447035
16-Sep-16,60.06,60.90,59.69,60.79,2509131
15-Sep-16,59.71,60.29,59.54,60.18,2168482
14-Sep-16,59.65,60.28,59.47,59.97,1987971
13-Sep-16,60.06,60.19,59.17,59.47,2123638
12-Sep-16,59.08,60.29,59.08,60.18,2447674
9-Sep-16,60.87,60.91,59.03,59.09,2172407
8-Sep-16,60.92,61.60,60.90,61.41,1524758
7-Sep-16,61.41,61.43,60.93,61.11,1848312
6-Sep-16,60.73,61.54,60.63,61.46,1738601
2-Sep-16,59.74,60.61,59.69,60.56,1639388
1-Sep-16,59.83,59.99,59.49,59.82,1685843
31-Aug-16,59.62,59.90,59.32,59.88,1817943
30-Aug-16,60.30,60.65,59.47,59.56,1780916
29-Aug-16,59.89,60.44,59.85,60.34,1087054
26-Aug-16,61.45,61.58,59.48,59.68,2481516
25-Aug-16,61.09,61.47,60.82,61.25,975767
24-Aug-16,61.02,61.19,60.42,61.07,1271541
23-Aug-16,61.54,61.97,61.19,61.21,1017480
22-Aug-16,61.40,61.87,61.27,61.60,1128171
19-Aug-16,61.72,61.84,60.91,61.31,1626517
18-Aug-16,60.78,61.94,60.75,61.94,2486494
17-Aug-16,60.19,61.03,59.32,60.88,2855897
16-Aug-16,61.02,61.03,60.02,60.02,2990803
15-Aug-16,62.53,62.67,61.14,61.17,1807232
12-Aug-16,62.66,62.92,62.29,62.46,1378225
