Date,Open,High,Low,Close,Volume
9-Dec-16,64.34,64.53,63.96,64.49,2395020
8-Dec-16,64.49,64.81,64.24,64.36,2033839
7-Dec-16,63.42,64.48,63.35,64.44,2654989
6-Dec-16,63.06,63.51,62.94,63.46,2884012
5-Dec-16,62.59,63.35,62.56,63.06,2280923
2-Dec-16,62.51,62.74,62.32,62.42,2048499
1-Dec-16,63.44,63.54,62.54,62.69,3354121
30-Nov-16,63.54,63.69,63.20,63.39,4875838
29-Nov-16,63.16,63.88,63.16,63.54,3167273
28-Nov-16,63.08,63.67,62.77,63.11,3501755
25-Nov-16,63.13,63.45,62.97,63.34,871985
23-Nov-16,62.48,63.21,62.48,63.15,1990577
22-Nov-16,62.02,62.84,62.00,62.73,2545436
21-Nov-16,62.33,62.37,61.88,62.00,2934293
18-Nov-16,61.83,62.45,61.38,62.36,4719453
17-Nov-16,60.56,60.92,60.37,60.76,2883333
16-Nov-16,60.49,60.75,60.34,60.40,4927971
15-Nov-16,60.78,60.94,60.37,60.70,4151920
14-Nov-16,61.10,61.45,60.64,60.70,3699294
11-Nov-16,61.22,61.30,60.62,60.70,5618947
10-Nov-16,61.72,62.10,61.27,61.34,6740331
9-Nov-16,61.02,62.10,60.76,61.87,4187637
8-Nov-16,62.08,62.20,61.65,62.00,4932465
7-Nov-16,60.65,62.04,60.23,62.01,4963068
4-Nov-16,60.18,60.25,59.57,59.81,4125211
3-Nov-16,59.89,60.45,59.73,60.15,7187780
2-Nov-16,60.67,60.68,59.62,59.70,10132851
1-Nov-16,62.21,62.63,60.58,60.69,12111827
31-Oct-16,86.33,86.34,85.58,86.28,3895866
28-Oct-16,85.30,85.92,85.08,85.72,2094227
27-Oct-16,86.04,86.08,85.17,85.36,2251181
26-Oct-16,85.44,85.89,85.23,85.73,2261868
25-Oct-16,86.52,87.13,85.56,85.73,2963659
24-Oct-16,87.03,88.00,86.93,87.80,3493528
21-Oct-16,86.04,87.15,86.00,86.97,6591274
20-Oct-16,86.73,86.94,86.13,86.20,2477915
19-Oct-16,86.77,87.47,86.33,87.24,3663752
18-Oct-16,87.44,87.46,86.16,86.16,3144075
17-Oct-16,88.51,88.70,86.65,86.73,4622916
14-Oct-16,89.84,90.05,89.18,89.18,4794154
13-Oct-16,88.56,90.03,88.36,89.37,4181452
12-Oct-16,88.49,89.61,87.88,88.94,4442601
11-Oct-16,90.43,90.68,88.18,88.25,6487609
10-Oct-16,88.05,88.52,87.33,87.39,4985620
7-Oct-16,87.71,87.98,87.15,87.72,6254439
6-Oct-16,86.95,87.78,86.50,87.44,8631231
5-Oct-16,90.54,90.71,88.31,88.62,9055006
4-Oct-16,91.18,91.90,90.23,90.28,4016055
3-Oct-16,90.81,91.28,90.52,90.92,3188992
30-Sep-16,89.88,91.50,89.84,90.81,3610802
29-Sep-16,90.25,90.84,89.66,89.81,2221896
28-Sep-16,89.89,90.30,89.50,90.22,2418438
27-Sep-16,89.76,90.31,89.25,89.86,3336222
26-Sep-16,90.22,90.45,89.48,89.52,3555731
