Date,Open,High,Low,Close,Volume
9-Dec-16,72.30,72.48,71.51,72.48,7403945
8-Dec-16,75.99,75.99,68.00,70.75,17710775
7-Dec-16,75.50,76.38,74.47,75.85,3840300
6-Dec-16,76.42,77.25,76.01,76.73,2542847
5-Dec-16,76.23,76.75,75.50,76.71,3893716
2-Dec-16,76.09,76.76,75.59,75.66,2718891
1-Dec-16,75.89,76.29,75.44,75.83,3242099
30-Nov-16,76.86,77.34,75.79,75.88,5569834
29-Nov-16,77.02,77.50,76.80,76.86,2171452
28-Nov-16,76.78,77.13,76.05,76.75,2336432
25-Nov-16,76.97,77.39,76.37,76.90,1285203
23-Nov-16,75.74,76.82,75.60,76.81,2244914
22-Nov-16,76.06,76.31,75.57,75.93,3651624
21-Nov-16,75.22,76.76,75.22,76.10,2577371
18-Nov-16,76.33,76.69,75.72,75.77,2984707
17-Nov-16,76.06,76.50,75.83,76.44,2908039
16-Nov-16,77.06,77.45,76.00,76.15,3043172
15-Nov-16,76.55,77.22,75.73,77.14,3448039
14-Nov-16,74.51,77.14,74.27,76.45,5670086
11-Nov-16,75.18,75.60,73.78,74.59,4337362
10-Nov-16,75.13,76.60,74.63,75.39,8904674
9-Nov-16,73.35,75.32,71.44,74.78,9180159
8-Nov-16,67.97,70.11,67.58,69.85,5759849
7-Nov-16,69.22,70.72,68.98,70.38,4641874
4-Nov-16,67.16,68.67,67.01,67.86,5014676
3-Nov-16,69.82,70.77,67.06,67.24,6875127
2-Nov-16,67.35,70.76,67.12,69.82,7091760
1-Nov-16,67.42,67.77,66.77,67.25,4951991
31-Oct-16,65.54,67.52,65.42,67.40,6186898
28-Oct-16,67.59,68.10,64.46,65.09,10586527
27-Oct-16,70.46,70.62,69.12,69.23,3486271
26-Oct-16,72.03,72.03,69.24,70.39,5370287
25-Oct-16,69.73,70.24,69.50,70.07,2642407
24-Oct-16,70.15,70.55,69.41,69.80,2960695
21-Oct-16,70.63,70.63,69.54,69.61,3092722
20-Oct-16,70.59,71.52,70.31,71.04,2453342
19-Oct-16,70.35,70.62,70.07,70.43,2283839
18-Oct-16,70.02,70.66,69.79,70.31,3045786
17-Oct-16,69.58,69.70,68.88,69.22,3193007
14-Oct-16,69.45,70.43,69.07,69.76,2976526
13-Oct-16,68.66,69.12,68.43,69.04,3269027
12-Oct-16,69.11,69.36,68.58,69.16,2670432
11-Oct-16,70.34,70.34,68.94,69.03,2840473
10-Oct-16,70.44,70.90,70.38,70.57,1630512
7-Oct-16,70.65,70.71,69.70,70.06,3437822
6-Oct-16,70.03,70.84,69.83,70.35,2771710
5-Oct-16,70.23,70.59,69.82,70.34,2105026
4-Oct-16,69.85,70.52,69.69,69.91,2133836
3-Oct-16,70.24,70.43,69.30,69.96,3430284
30-Sep-16,69.86,70.81,68.70,70.53,3976663
29-Sep-16,70.97,71.06,69.80,69.84,2222240
28-Sep-16,70.80,71.35,70.45,70.93,1621065
27-Sep-16,70.69,71.09,70.48,70.79,2866980
26-Sep-16,71.12,71.68,70.52,70.63,3120262
23-Sep-16,70.66,71.84,70.62,71.34,4028976
22-Sep-16,70.03,71.85,69.82,71.03,3822132
21-Sep-16,69.25,69.80,68.96,69.65,3398867
20-Sep-16,69.95,70.23,69.25,69.25,3097802
19-Sep-16,70.47,70.86,69.54,69.66,3152988
16-Sep-16,70.53,70.66,69.79,70.21,4472168
15-Sep-16,70.20,70.70,69.76,70.44,3376584
14-Sep-16,71.02,71.02,69.66,70.37,4206938
13-Sep-16,71.50,71.51,70.38,70.90,3931033
12-Sep-16,70.77,72.24,70.72,72.10,3125600
9-Sep-16,71.63,71.84,70.88,71.13,4790679
8-Sep-16,72.44,72.67,72.09,72.11,3174153
7-Sep-16,72.70,73.12,72.10,72.67,3613397
6-Sep-16,72.54,72.92,72.28,72.72,2167741
2-Sep-16,72.54,72.68,71.94,72.54,2282980
1-Sep-16,72.98,72.99,71.80,72.22,3564046
31-Aug-16,73.30,73.35,72.11,72.70,4403792
30-Aug-16,72.98,73.50,72.65,73.35,3997999
29-Aug-16,72.32,73.81,72.00,73.12,7638234
26-Aug-16,72.04,72.90,71.60,72.31,7321605
25-Aug-16,76.08,76.08,71.26,71.74,13815591
24-Aug-16,76.84,77.57,76.19,76.34,3042017
23-Aug-16,76.95,77.61,76.70,77.15,4868025
22-Aug-16,76.29,76.78,76.00,76.51,2309646
19-Aug-16,76.33,76.55,75.25,76.38,2525759
18-Aug-16,76.70,77.15,76.53,76.62,2015994
17-Aug-16,77.09,77.37,76.17,76.63,2467734
16-Aug-16,77.01,77.19,76.60,76.97,2541610
15-Aug-16,76.47,77.34,76.25,77.13,2687579
12-Aug-16,75.92,76.30,75.77,76.19,1926493
11-Aug-16,75.83,76.36,75.71,76.17,2927932
10-Aug-16,76.45,76.65,75.62,75.79,2102013
9-Aug-16,75.92,76.68,75.64,76.44,1997502
8-Aug-16,76.38,76.81,75.74,75.91,2456870
5-Aug-16,76.11,76.77,75.73,76.38,2620471
4-Aug-16,76.13,76.37,75.64,75.89,2616791
3-Aug-16,75.40,76.41,75.35,75.98,3112479
2-Aug-16,75.95,76.20,75.11,75.43,3156865
1-Aug-16,76.11,76.69,75.98,76.17,4264322
29-Jul-16,76.84,77.15,75.93,76.07,4550675
28-Jul-16,77.28,77.68,76.93,77.09,2636041
27-Jul-16,78.49,78.53,77.10,77.21,3324195
26-Jul-16,75.84,78.73,75.60,78.49,5450204
25-Jul-16,77.46,78.22,76.90,77.39,4277778
22-Jul-16,79.02,79.24,78.56,78.86,2783693
21-Jul-16,79.28,79.50,78.38,78.59,3307460
20-Jul-16,79.10,79.45,78.75,79.18,3262192
19-Jul-16,79.44,79.77,78.66,79.00,3213318
18-Jul-16,79.40,79.94,79.26,79.68,2013272
15-Jul-16,78.72,79.86,77.94,79.33,3465733
14-Jul-16,79.09,80.02,78.88,79.45,3634880
13-Jul-16,78.72,79.40,78.14,78.60,2791858
12-Jul-16,78.12,78.63,77.96,78.28,3110627
11-Jul-16,78.18,78.69,77.52,77.93,3109726
8-Jul-16,77.05,78.23,76.59,77.92,3071099
7-Jul-16,76.18,77.08,76.08,76.55,2684148
6-Jul-16,75.56,76.82,75.00,76.21,3545683
5-Jul-16,75.82,75.96,75.31,75.61,3622516
1-Jul-16,75.80,76.48,75.72,76.28,3939165
30-Jun-16,75.98,76.21,75.26,75.80,5270947
29-Jun-16,74.21,76.09,74.21,75.70,3924037
28-Jun-16,73.62,74.62,73.49,74.01,2934890
27-Jun-16,74.64,75.00,72.81,73.21,4588645
24-Jun-16,74.60,75.86,74.29,75.40,5830644
23-Jun-16,76.27,77.00,75.98,76.95,3230515
22-Jun-16,74.80,76.08,74.34,75.59,3144458
21-Jun-16,74.43,74.96,74.05,74.75,3840117
20-Jun-16,74.87,75.25,74.02,74.14,4258655
17-Jun-16,74.82,75.24,73.99,74.58,7041385
16-Jun-16,74.05,75.05,73.97,74.74,3856654
15-Jun-16,75.46,75.65,74.72,74.80,3203916
14-Jun-16,75.54,76.09,74.79,75.16,3001050
13-Jun-16,75.82,76.60,75.52,75.54,3272236
10-Jun-16,76.11,76.53,75.59,75.91,3627398
9-Jun-16,76.86,77.19,76.20,76.93,3820505
8-Jun-16,76.05,77.26,76.05,76.86,3592365
7-Jun-16,76.12,76.49,75.75,75.84,3132840
6-Jun-16,75.77,76.37,75.40,76.00,2511598
3-Jun-16,76.17,76.23,74.95,75.61,2810514
2-Jun-16,75.68,76.63,75.50,76.26,2749337
1-Jun-16,75.52,76.20,75.24,75.84,4264854
31-May-16,74.74,75.64,74.45,75.55,4511011
27-May-16,74.92,75.55,74.62,74.97,2503138
26-May-16,74.48,74.98,74.39,74.71,2317880
25-May-16,74.42,75.51,74.32,74.72,3051655
24-May-16,73.03,74.95,73.03,74.35,3528566
23-May-16,72.68,73.95,72.39,72.91,3767605
20-May-16,72.27,73.42,71.92,72.87,4832255
19-May-16,71.90,72.81,71.41,72.35,2410523
18-May-16,72.27,72.76,71.90,72.51,2489483
17-May-16,72.74,73.10,71.89,72.22,3000014
16-May-16,72.01,72.96,71.76,72.76,2975250
13-May-16,72.43,72.90,71.84,72.01,2379452
12-May-16,73.56,73.96,72.16,72.61,3675258
11-May-16,74.73,75.34,73.59,73.62,3258288
10-May-16,74.13,74.90,73.65,74.60,4177584
9-May-16,72.96,74.16,72.89,73.77,3191013
6-May-16,72.51,73.43,72.14,73.13,2893526
5-May-16,72.63,73.41,72.56,72.95,2736655
4-May-16,72.60,73.55,72.10,72.74,2982945
3-May-16,72.92,73.71,72.43,72.79,3976770
2-May-16,73.87,74.12,73.25,73.62,2836473
29-Apr-16,74.26,74.36,73.19,73.73,3567723
28-Apr-16,75.52,76.35,74.73,74.93,4411906
27-Apr-16,74.81,76.30,74.68,76.06,4605341
26-Apr-16,73.16,74.34,72.05,74.26,6295004
25-Apr-16,73.49,74.07,73.20,73.72,3709409
22-Apr-16,73.55,74.04,73.18,73.55,4073721
21-Apr-16,73.07,73.87,72.49,73.33,3057433
20-Apr-16,72.40,73.75,72.36,73.17,3714531
19-Apr-16,72.40,72.58,71.94,72.35,3122037
18-Apr-16,70.97,72.11,70.71,72.02,3283833
15-Apr-16,70.92,71.35,70.16,70.98,3548738
14-Apr-16,71.33,71.64,70.93,71.17,2480817
13-Apr-16,70.69,71.62,70.47,71.11,3506291
12-Apr-16,69.73,71.07,69.71,70.26,4285935
11-Apr-16,70.10,70.42,69.32,69.71,3407061
8-Apr-16,70.22,70.95,69.58,70.09,10695971
7-Apr-16,68.76,70.98,68.76,70.05,7819600
6-Apr-16,66.90,69.16,66.90,69.12,5909314
5-Apr-16,67.53,68.17,66.89,67.24,6165657
4-Apr-16,69.62,70.37,68.06,68.32,5223668
1-Apr-16,69.17,69.30,68.05,69.11,4480756
31-Mar-16,69.05,69.94,68.15,68.69,6388660
30-Mar-16,68.90,70.00,68.90,69.05,4828454
29-Mar-16,67.73,69.07,67.56,68.69,3610121
28-Mar-16,67.69,68.20,67.44,67.67,3602970
24-Mar-16,66.93,67.60,66.23,67.38,4909924
23-Mar-16,67.75,68.37,67.13,67.33,7945402
22-Mar-16,69.01,69.20,66.16,67.52,9682072
21-Mar-16,69.39,71.02,67.08,69.34,8926936
18-Mar-16,67.94,69.61,67.32,69.47,8307532
17-Mar-16,69.38,69.48,65.97,67.59,8989396
16-Mar-16,69.73,70.45,69.15,70.07,3007983
15-Mar-16,70.69,70.85,69.47,69.59,2368645
14-Mar-16,70.33,71.39,70.13,70.94,3249491
11-Mar-16,69.01,70.52,68.75,70.28,4653322
10-Mar-16,69.32,70.29,68.10,68.35,4447893
9-Mar-16,68.58,70.08,68.11,69.57,3776058
8-Mar-16,70.66,70.75,68.11,68.22,6817537
7-Mar-16,71.08,71.98,70.71,70.85,5026178
4-Mar-16,72.60,72.91,71.60,71.69,4718443
3-Mar-16,71.29,72.50,70.34,72.40,4296743
2-Mar-16,71.63,72.00,70.36,71.19,3119206
1-Mar-16,70.69,71.66,69.62,71.61,3322301
29-Feb-16,71.00,71.49,70.11,70.38,3844444
26-Feb-16,70.81,72.40,70.79,71.33,5442851
25-Feb-16,69.45,70.14,69.25,69.69,3779368
24-Feb-16,68.17,69.26,67.49,69.20,3060662
23-Feb-16,68.89,69.02,68.08,68.55,3985947
22-Feb-16,67.07,69.36,67.07,68.95,5285364
19-Feb-16,68.32,68.64,67.82,68.01,5306570
18-Feb-16,69.09,69.44,68.10,68.29,4379510
17-Feb-16,68.00,70.90,67.62,69.39,5971544
16-Feb-16,67.42,68.78,66.90,68.65,5260446
12-Feb-16,67.36,67.62,66.70,67.34,3041950
11-Feb-16,66.39,66.89,65.55,66.37,4844599
10-Feb-16,67.65,68.96,67.06,67.11,3683845
9-Feb-16,66.08,68.01,65.55,67.16,4035728
8-Feb-16,67.78,68.07,65.72,66.72,4401469
5-Feb-16,67.73,69.22,67.51,67.84,5545094
4-Feb-16,68.68,69.92,67.55,68.15,6066623
3-Feb-16,70.21,71.09,68.21,68.82,6586014
2-Feb-16,71.26,71.72,70.02,70.12,4893541
1-Feb-16,71.12,72.72,71.02,72.28,4603640
29-Jan-16,69.39,71.94,69.10,71.87,8697571
28-Jan-16,72.93,72.99,69.48,69.86,7178159
27-Jan-16,73.05,74.58,71.54,72.02,9059158
26-Jan-16,71.92,73.17,71.51,72.98,4934088
25-Jan-16,72.21,73.00,71.51,72.31,7237867
22-Jan-16,72.49,73.05,71.53,72.23,5202616
21-Jan-16,70.95,72.41,69.42,71.91,8220977
20-Jan-16,71.43,72.24,69.04,71.70,7701950
19-Jan-16,74.49,75.21,71.63,72.38,8381874
15-Jan-16,75.49,75.85,72.93,74.59,10480043
14-Jan-16,79.65,79.65,77.28,77.51,16486911
13-Jan-16,80.90,81.61,79.54,79.69,19444016
12-Jan-16,86.14,86.74,85.04,85.58,4107420
11-Jan-16,85.79,86.36,85.23,85.97,4137741
8-Jan-16,85.94,86.52,85.51,85.74,4012560
7-Jan-16,85.01,86.82,85.01,85.84,5167398
6-Jan-16,85.97,87.56,85.86,87.09,5765953
