Date,Open,High,Low,Close,Volume
9-Dec-16,71.84,72.83,71.38,72.82,3063950
8-Dec-16,71.84,72.24,71.07,72.05,3547601
7-Dec-16,68.76,71.98,68.33,71.62,5768138
6-Dec-16,67.89,68.42,67.50,68.38,2257012
5-Dec-16,67.89,68.19,67.38,67.45,2635599
2-Dec-16,68.23,68.23,66.88,67.26,2273251
1-Dec-16,68.00,68.90,67.78,68.06,3469604
30-Nov-16,68.18,68.50,67.42,67.77,3867743
29-Nov-16,67.86,68.15,67.40,67.62,2568432
28-Nov-16,68.15,68.49,67.63,67.75,2143808
25-Nov-16,68.26,68.88,68.12,68.41,1159622
23-Nov-16,67.26,68.34,67.01,68.28,2345543
22-Nov-16,66.89,67.39,66.59,67.16,2892548
21-Nov-16,66.51,66.79,66.13,66.63,2186559
18-Nov-16,65.73,66.78,65.73,66.24,2523883
17-Nov-16,65.30,66.14,65.14,66.01,2838984
16-Nov-16,65.86,66.19,64.98,65.25,2485317
15-Nov-16,65.43,66.36,64.21,66.33,3453322
14-Nov-16,65.00,67.18,64.98,66.70,5897707
11-Nov-16,63.14,64.69,63.03,64.57,4450901
10-Nov-16,60.81,63.72,60.79,63.60,5851448
9-Nov-16,58.16,60.58,57.84,60.29,4176955
8-Nov-16,57.42,57.69,56.68,57.26,2359586
7-Nov-16,56.90,57.78,56.90,57.74,2116322
4-Nov-16,56.02,56.92,55.71,56.07,2266916
3-Nov-16,55.79,56.44,55.75,56.02,2809009
2-Nov-16,55.90,56.07,55.41,55.72,1999696
1-Nov-16,56.46,56.46,55.56,56.06,2268126
31-Oct-16,56.76,56.87,56.32,56.33,1937920
28-Oct-16,56.92,57.06,56.12,56.57,2458143
27-Oct-16,57.29,57.29,56.32,56.72,2611493
26-Oct-16,55.93,57.33,55.72,56.89,4232765
25-Oct-16,56.23,56.45,55.51,56.14,3354575
24-Oct-16,55.79,56.46,55.75,56.41,2765822
21-Oct-16,55.21,55.69,55.01,55.35,2882955
20-Oct-16,55.68,56.46,55.46,55.56,3243443
19-Oct-16,55.00,55.63,54.89,55.36,2171352
18-Oct-16,55.03,55.05,54.57,54.81,1988884
17-Oct-16,54.90,55.01,54.45,54.47,2333359
14-Oct-16,55.00,55.48,54.79,54.82,2134978
13-Oct-16,55.12,55.19,53.91,54.51,3395321
12-Oct-16,55.47,55.74,55.37,55.51,2187797
11-Oct-16,56.25,56.34,55.35,55.49,1916753
10-Oct-16,56.85,57.06,56.42,56.46,2608095
7-Oct-16,56.78,57.10,56.31,56.40,2577726
6-Oct-16,57.00,57.00,56.36,56.67,2378073
5-Oct-16,56.67,57.35,56.59,57.10,3215394
4-Oct-16,56.81,57.03,56.44,56.51,2948328
3-Oct-16,56.36,56.71,56.24,56.61,2628413
30-Sep-16,56.33,56.79,56.05,56.55,3141054
29-Sep-16,56.93,57.13,55.64,56.02,2886015
28-Sep-16,57.03,57.31,56.70,57.05,2496935
27-Sep-16,56.66,57.18,56.43,57.07,2975787
26-Sep-16,57.00,57.34,56.52,56.73,2616220
23-Sep-16,57.60,57.89,57.33,57.39,2952079
22-Sep-16,57.81,57.93,57.47,57.80,3319210
21-Sep-16,57.26,57.56,57.03,57.44,4101817
20-Sep-16,57.60,57.72,56.96,56.96,2343857
19-Sep-16,57.38,57.83,57.15,57.25,1885302
16-Sep-16,57.36,57.50,56.92,57.09,4455536
15-Sep-16,57.31,57.91,57.01,57.69,3217364
14-Sep-16,58.10,58.19,57.38,57.45,3558252
13-Sep-16,59.01,59.06,57.92,58.03,3386429
12-Sep-16,58.52,59.78,57.92,59.57,2894815
9-Sep-16,59.50,59.52,58.74,58.74,3230416
8-Sep-16,59.56,59.86,59.33,59.72,2467095
7-Sep-16,59.17,59.56,58.77,59.54,3237541
6-Sep-16,59.89,60.10,59.36,59.67,2091680
2-Sep-16,59.75,60.17,59.49,60.02,1947032
1-Sep-16,60.03,60.29,59.19,59.60,2552694
31-Aug-16,59.59,60.05,59.44,60.00,3078196
30-Aug-16,59.16,59.68,59.08,59.65,2171173
29-Aug-16,58.66,59.28,58.55,59.15,2833314
26-Aug-16,58.23,58.75,58.03,58.46,3278941
25-Aug-16,57.84,58.10,57.72,58.01,2198926
24-Aug-16,58.07,58.29,57.71,57.81,1832403
23-Aug-16,57.87,58.34,57.87,58.07,1812556
22-Aug-16,57.94,57.98,57.46,57.73,1484069
19-Aug-16,57.92,58.02,57.51,57.87,1928841
18-Aug-16,58.06,58.33,57.91,58.12,1897527
17-Aug-16,57.87,58.21,57.62,58.08,1776956
16-Aug-16,58.00,58.25,57.77,58.00,1649944
15-Aug-16,58.22,58.55,57.89,58.21,2106402
12-Aug-16,57.72,58.24,57.64,58.17,1985104
11-Aug-16,57.63,58.27,57.48,58.05,2877667
10-Aug-16,57.91,58.02,57.34,57.44,2199595
9-Aug-16,58.00,58.20,57.57,57.91,2327195
8-Aug-16,57.83,58.17,57.71,57.96,2909906
5-Aug-16,57.03,57.94,56.84,57.79,2138970
4-Aug-16,56.34,56.70,56.24,56.51,1790964
3-Aug-16,55.50,56.37,55.50,56.33,1609513
2-Aug-16,56.03,56.10,55.28,55.53,1938888
1-Aug-16,56.82,56.94,56.27,56.34,2240131
29-Jul-16,56.68,57.08,56.12,56.84,1695560
28-Jul-16,56.57,57.00,56.31,56.88,1529941
27-Jul-16,56.53,56.99,56.30,56.66,2205150
26-Jul-16,56.52,56.98,56.28,56.53,1990160
25-Jul-16,56.63,56.72,56.39,56.63,2436996
22-Jul-16,56.23,56.76,56.02,56.59,2561250
21-Jul-16,56.30,56.68,55.95,56.10,2548534
20-Jul-16,56.14,56.72,55.38,56.30,3908557
19-Jul-16,56.71,57.00,56.25,56.98,6209996
18-Jul-16,57.40,57.65,57.00,57.09,2961925
15-Jul-16,57.67,57.68,57.01,57.42,2408001
14-Jul-16,57.34,57.53,56.78,57.44,3313400
13-Jul-16,56.60,56.81,56.26,56.71,1841573
12-Jul-16,56.10,56.87,55.99,56.69,2492148
11-Jul-16,55.31,55.88,55.31,55.64,2560667
8-Jul-16,54.05,55.09,54.04,54.98,3003085
7-Jul-16,52.81,53.63,52.81,53.22,2889524
6-Jul-16,51.89,53.09,51.67,52.88,2973424
5-Jul-16,53.30,53.30,52.13,52.33,2935237
1-Jul-16,53.54,54.04,53.21,53.69,2674450
30-Jun-16,52.84,53.61,52.18,53.59,3732795
29-Jun-16,51.57,52.51,51.38,52.51,2461626
28-Jun-16,51.37,51.76,50.52,51.15,5133700
27-Jun-16,51.00,51.09,50.32,50.71,5023792
24-Jun-16,51.54,53.09,51.32,51.79,6476222
23-Jun-16,54.00,54.28,53.82,54.28,2892095
22-Jun-16,53.23,53.80,53.11,53.27,2608180
21-Jun-16,53.40,53.61,52.89,53.28,2518710
20-Jun-16,53.41,54.22,53.14,53.18,2780462
17-Jun-16,52.65,53.24,52.43,52.80,3391046
16-Jun-16,52.77,52.77,51.54,52.59,6309084
15-Jun-16,53.36,53.93,53.03,53.12,3978902
14-Jun-16,55.26,55.61,52.91,53.27,7091974
13-Jun-16,56.03,56.63,55.51,55.52,1941319
10-Jun-16,56.34,56.47,56.02,56.30,2250869
9-Jun-16,57.11,57.15,56.45,56.80,1847889
8-Jun-16,57.23,57.63,57.05,57.39,1535521
7-Jun-16,57.24,57.77,57.08,57.35,1628766
6-Jun-16,56.56,57.63,56.55,57.31,3137457
3-Jun-16,56.63,56.66,55.40,56.46,2986332
2-Jun-16,56.91,57.15,56.53,57.15,1757525
1-Jun-16,56.28,56.96,55.64,56.96,2928929
31-May-16,57.00,57.10,56.46,56.81,2685617
27-May-16,56.20,56.78,56.20,56.78,2168203
26-May-16,56.52,56.62,56.17,56.19,1509535
25-May-16,55.96,56.78,55.79,56.58,2499356
24-May-16,55.06,55.89,54.84,55.73,1816623
23-May-16,54.92,55.13,54.62,54.70,1823144
20-May-16,54.68,55.15,54.53,54.93,2440120
19-May-16,54.25,54.88,53.91,54.44,2779034
18-May-16,53.78,54.64,53.66,54.57,3346078
17-May-16,54.15,54.39,53.55,53.74,3761627
16-May-16,54.40,54.79,54.14,54.44,3514596
13-May-16,55.26,55.77,54.38,54.42,2475992
12-May-16,55.52,55.84,54.96,55.30,2038588
11-May-16,55.66,55.98,55.32,55.37,2139002
10-May-16,55.55,56.25,55.46,55.96,2000784
9-May-16,55.16,55.47,54.88,55.16,2296474
6-May-16,54.68,55.32,54.51,55.23,2558080
5-May-16,55.22,55.62,54.62,54.83,2354638
4-May-16,55.07,55.45,54.80,55.15,3084677
3-May-16,55.83,55.96,54.82,55.55,4807873
2-May-16,56.51,56.72,56.08,56.40,4734260
29-Apr-16,56.27,56.61,55.90,56.27,2458173
28-Apr-16,56.51,57.25,56.46,56.68,2258185
27-Apr-16,56.98,57.53,56.77,57.17,2964676
26-Apr-16,57.00,57.09,56.63,57.07,2237591
25-Apr-16,56.25,56.88,56.15,56.88,3195938
22-Apr-16,56.35,57.08,55.89,56.51,3746881
21-Apr-16,57.13,58.10,56.26,56.36,4341140
20-Apr-16,55.77,57.10,55.05,56.84,9642752
19-Apr-16,52.48,52.74,52.21,52.55,6457499
18-Apr-16,51.74,52.20,51.66,51.95,7028828
15-Apr-16,52.56,52.69,51.73,51.87,3405437
14-Apr-16,52.46,52.68,52.09,52.32,2513303
13-Apr-16,51.89,52.66,51.78,52.61,2409637
12-Apr-16,50.60,51.58,50.60,51.49,2421067
11-Apr-16,50.72,51.11,50.42,50.57,2528480
8-Apr-16,50.48,51.08,50.35,50.55,1879272
7-Apr-16,50.71,50.86,49.98,50.26,3176330
6-Apr-16,50.98,51.28,50.70,51.20,4012294
5-Apr-16,50.37,51.26,50.09,51.22,5133032
4-Apr-16,51.34,51.38,50.68,50.76,2108406
1-Apr-16,50.58,51.46,50.37,51.39,3246454
31-Mar-16,50.23,51.13,50.12,50.92,4003745
30-Mar-16,50.49,50.88,50.11,50.26,2776318
29-Mar-16,49.18,50.32,48.68,50.28,3217162
28-Mar-16,49.74,49.84,49.24,49.28,2236564
24-Mar-16,49.47,49.70,49.08,49.68,1888966
23-Mar-16,50.16,50.19,49.71,49.86,1832865
22-Mar-16,50.00,50.35,49.76,50.17,2948225
21-Mar-16,50.44,50.67,50.05,50.41,1814785
18-Mar-16,49.72,50.63,49.60,50.59,5315297
17-Mar-16,48.69,49.87,48.45,49.52,2989612
16-Mar-16,48.46,49.48,48.29,48.84,3299635
15-Mar-16,48.16,48.75,47.82,48.71,3220915
14-Mar-16,49.16,49.17,48.24,48.65,2156679
11-Mar-16,48.80,49.24,48.77,49.18,2755825
10-Mar-16,48.28,48.53,47.50,48.31,2739058
9-Mar-16,48.55,48.71,47.78,48.00,2130361
8-Mar-16,48.18,48.77,48.06,48.24,3327081
7-Mar-16,48.30,48.70,47.75,48.68,2503440
4-Mar-16,48.79,49.06,48.21,48.53,2768702
3-Mar-16,47.96,48.85,47.84,48.76,3430108
2-Mar-16,47.65,48.12,47.37,48.09,3574271
1-Mar-16,46.69,47.67,46.37,47.57,4074256
29-Feb-16,47.17,47.38,46.41,46.42,2893785
26-Feb-16,47.56,47.76,47.03,47.15,2365210
