Date,Open,High,Low,Close,Volume
9-Dec-16,258.60,260.22,258.06,259.53,1546118
8-Dec-16,266.38,266.38,258.61,259.25,2767329
7-Dec-16,266.07,267.00,264.35,266.38,1269400
6-Dec-16,265.83,266.80,264.01,266.00,1145873
5-Dec-16,268.95,269.90,266.31,266.93,1270311
2-Dec-16,266.58,268.15,266.01,267.62,1090977
1-Dec-16,265.29,266.53,264.31,266.40,874893
30-Nov-16,267.55,267.95,265.25,265.25,1468029
29-Nov-16,264.50,267.77,263.71,266.58,1209462
28-Nov-16,265.73,266.23,264.86,265.93,1364947
25-Nov-16,265.34,266.49,264.65,265.92,653602
23-Nov-16,264.91,265.82,263.56,264.40,1039660
22-Nov-16,264.49,265.64,263.42,264.66,1244667
21-Nov-16,264.05,264.33,262.64,263.42,965537
18-Nov-16,263.14,264.46,261.58,263.09,1197134
17-Nov-16,263.50,264.47,262.39,263.28,913464
16-Nov-16,265.87,266.17,261.46,263.35,1464166
15-Nov-16,268.79,269.74,261.85,265.93,2014589
14-Nov-16,261.23,267.81,260.80,267.24,2455096
11-Nov-16,257.96,259.73,255.06,259.17,2002930
10-Nov-16,257.50,258.19,252.77,257.27,2627553
9-Nov-16,256.59,257.48,250.00,253.46,4184280
8-Nov-16,239.00,240.92,238.60,239.19,1259281
7-Nov-16,239.83,239.92,237.52,239.27,1375974
4-Nov-16,238.85,239.70,236.21,236.28,1512179
3-Nov-16,242.55,243.40,237.11,238.70,1695139
2-Nov-16,244.95,247.65,244.20,245.11,954207
1-Nov-16,247.19,247.19,244.23,244.98,1081151
31-Oct-16,248.24,248.81,245.68,246.38,1320867
28-Oct-16,248.72,250.17,247.69,248.00,1119025
27-Oct-16,250.28,251.24,248.05,248.53,1294373
26-Oct-16,248.60,252.00,247.49,250.09,2112342
25-Oct-16,241.08,249.79,238.64,249.26,3130924
24-Oct-16,231.50,232.49,230.92,232.16,1304883
21-Oct-16,231.07,231.16,228.50,230.52,1553133
20-Oct-16,232.15,232.71,230.72,231.83,922754
19-Oct-16,233.08,233.74,231.58,232.33,992557
18-Oct-16,234.29,239.60,232.58,232.79,867910
17-Oct-16,232.68,234.33,232.60,232.77,793295
14-Oct-16,233.38,234.09,231.93,232.57,1081038
13-Oct-16,231.66,233.42,231.05,232.99,1112115
12-Oct-16,231.93,233.12,231.37,232.10,1256281
11-Oct-16,233.00,233.63,231.64,231.85,1060698
10-Oct-16,233.82,234.93,233.12,233.29,990194
7-Oct-16,233.20,233.99,231.57,233.53,2184089
6-Oct-16,237.00,237.02,234.48,234.72,1899906
5-Oct-16,239.05,239.05,236.50,236.60,1172065
4-Oct-16,240.96,241.05,236.50,237.10,1409589
3-Oct-16,238.71,241.30,237.54,240.58,1339016
30-Sep-16,243.06,243.47,237.33,239.72,2167014
29-Sep-16,246.08,246.08,240.96,242.34,1134120
28-Sep-16,246.13,246.96,244.86,245.75,1352642
27-Sep-16,246.04,247.02,245.30,245.79,946531
26-Sep-16,245.71,247.48,245.01,245.53,880702
23-Sep-16,246.08,246.54,244.64,245.84,858776
22-Sep-16,244.95,247.03,244.74,246.62,1173013
21-Sep-16,241.14,243.87,240.62,243.82,1660536
20-Sep-16,241.35,242.24,240.48,240.48,1007955
19-Sep-16,239.30,241.89,239.08,240.88,1456596
16-Sep-16,238.42,238.64,237.25,237.45,2892900
15-Sep-16,237.41,239.49,236.70,239.09,1273605
14-Sep-16,237.41,239.01,236.91,237.41,1494462
13-Sep-16,237.67,238.72,237.00,237.41,1609021
12-Sep-16,236.50,239.50,235.28,238.80,1822011
9-Sep-16,240.14,240.64,237.89,237.94,1574151
8-Sep-16,240.49,242.25,240.00,241.63,1249590
7-Sep-16,242.16,243.00,241.15,241.37,1245871
6-Sep-16,244.24,244.49,242.26,243.00,1600397
2-Sep-16,243.75,245.00,242.26,243.32,1491609
1-Sep-16,243.13,243.84,241.90,243.61,1337103
31-Aug-16,239.00,243.62,238.60,242.97,2890210
30-Aug-16,242.65,243.31,238.85,239.45,1887437
29-Aug-16,245.00,246.08,244.04,244.30,1637621
26-Aug-16,249.00,249.80,243.65,244.44,4697122
25-Aug-16,247.61,250.19,246.00,248.53,4383875
24-Aug-16,248.76,249.75,244.80,248.12,10559925
23-Aug-16,255.24,255.24,248.14,249.75,10627904
22-Aug-16,254.37,256.42,253.75,254.20,3791010
19-Aug-16,254.73,255.00,252.70,254.12,2412945
18-Aug-16,255.64,255.99,254.10,255.42,2596297
17-Aug-16,256.70,257.50,251.55,255.64,4381071
16-Aug-16,265.23,266.04,254.44,256.77,7884356
15-Aug-16,264.22,266.93,264.20,266.50,9143820
12-Aug-16,262.49,265.34,261.66,264.15,13962278
11-Aug-16,261.50,264.07,260.15,262.54,12648897
10-Aug-16,259.82,262.10,259.07,261.30,9565349
9-Aug-16,260.43,261.29,259.18,260.66,9900252
8-Aug-16,260.00,261.87,258.79,260.19,8743439
5-Aug-16,259.14,260.29,257.63,260.29,4418108
4-Aug-16,257.65,258.78,256.14,257.75,5720398
3-Aug-16,257.51,257.75,254.75,256.85,6827181
2-Aug-16,254.17,257.46,252.73,257.00,4770936
1-Aug-16,252.63,254.93,252.30,254.84,2782394
29-Jul-16,254.50,254.81,252.70,252.73,2178251
28-Jul-16,254.20,254.89,252.05,254.55,2716134
27-Jul-16,255.47,256.00,253.03,254.16,2593320
26-Jul-16,255.62,256.46,253.83,254.76,2121516
25-Jul-16,256.82,257.28,254.72,255.62,1295943
22-Jul-16,254.60,257.49,253.05,257.31,1864603
21-Jul-16,257.49,257.49,251.60,254.14,2742875
20-Jul-16,259.32,259.82,255.89,256.67,3362076
19-Jul-16,258.54,263.37,252.10,258.96,4980017
18-Jul-16,257.78,258.29,255.30,256.29,2345812
15-Jul-16,257.11,257.62,256.10,256.98,3460736
14-Jul-16,257.19,257.94,254.70,256.00,3324242
13-Jul-16,255.10,256.44,254.92,255.90,4781670
12-Jul-16,255.64,256.38,254.03,254.70,4167928
11-Jul-16,252.38,256.34,251.92,254.39,6337300
8-Jul-16,250.78,252.30,248.50,251.90,1082839
7-Jul-16,250.23,251.22,248.61,249.77,961348
6-Jul-16,250.95,251.32,247.88,250.08,1387397
5-Jul-16,248.80,250.38,248.42,249.51,1327570
1-Jul-16,248.24,249.92,248.24,249.35,1427822
30-Jun-16,244.78,248.72,244.67,248.17,2045577
29-Jun-16,242.00,244.69,241.66,244.08,1190008
28-Jun-16,240.11,240.96,237.65,240.91,1994741
27-Jun-16,238.78,239.97,236.07,239.29,1868254
24-Jun-16,234.85,242.87,234.75,239.70,3471214
23-Jun-16,239.79,240.00,238.18,240.00,755762
22-Jun-16,238.95,239.27,238.04,238.17,1001844
21-Jun-16,239.49,239.85,238.31,238.55,928324
20-Jun-16,239.20,239.80,237.86,238.64,1067027
17-Jun-16,240.22,240.22,236.66,237.56,1455742
16-Jun-16,239.05,240.45,238.09,239.87,1212409
15-Jun-16,240.11,240.59,239.23,239.45,854220
14-Jun-16,237.78,240.12,237.25,239.70,1220204
13-Jun-16,240.01,240.70,237.91,237.95,1076282
10-Jun-16,240.01,241.70,239.74,240.58,760190
9-Jun-16,240.05,240.87,240.00,240.67,894113
8-Jun-16,239.26,240.75,239.23,240.38,918974
7-Jun-16,240.20,241.36,239.41,239.50,993428
6-Jun-16,238.52,240.37,238.52,239.40,1154169
