Date,Open,High,Low,Close,Volume
9-Dec-16,104.91,105.32,104.34,104.59,2423728
8-Dec-16,105.64,105.84,104.42,104.70,2221668
7-Dec-16,105.72,105.79,105.01,105.41,2921850
6-Dec-16,104.66,105.99,104.49,105.80,2900702
5-Dec-16,104.19,105.38,104.05,104.27,2549106
2-Dec-16,103.08,103.98,103.08,103.91,1929023
1-Dec-16,102.71,103.63,102.70,103.50,2348796
30-Nov-16,102.44,103.29,102.21,102.71,3730392
29-Nov-16,101.91,102.59,101.56,102.39,1261307
28-Nov-16,102.30,102.56,101.52,102.03,1630755
25-Nov-16,102.11,102.61,102.02,102.56,964523
23-Nov-16,101.37,102.44,100.87,102.42,1375158
22-Nov-16,101.88,102.14,101.39,101.75,1727782
21-Nov-16,101.00,101.50,100.90,101.32,1458273
18-Nov-16,100.60,101.27,100.29,101.21,1368350
17-Nov-16,100.68,101.16,100.25,100.66,1928710
16-Nov-16,99.46,101.99,99.38,100.73,3627931
15-Nov-16,97.87,99.71,97.65,99.09,3894156
14-Nov-16,97.68,98.53,97.44,98.09,1721536
11-Nov-16,97.62,98.20,97.35,97.90,3138504
10-Nov-16,99.21,99.40,97.75,97.93,3367798
9-Nov-16,98.25,99.57,98.10,98.94,3115929
8-Nov-16,99.32,99.71,98.61,99.44,1561848
7-Nov-16,99.05,99.49,98.56,99.19,1692944
4-Nov-16,98.81,99.40,98.36,98.52,1948389
3-Nov-16,99.74,99.78,98.60,98.81,3254091
2-Nov-16,100.55,100.85,99.68,99.78,2514790
1-Nov-16,100.63,101.00,100.24,100.69,1878706
31-Oct-16,100.93,101.53,100.50,100.77,1660683
28-Oct-16,101.15,101.58,100.51,100.98,1546366
27-Oct-16,101.52,101.60,100.88,101.02,1533766
26-Oct-16,101.26,101.74,100.99,101.33,1688596
25-Oct-16,102.00,102.00,101.14,101.40,2187509
24-Oct-16,101.63,102.61,101.40,102.00,3744383
21-Oct-16,102.34,102.46,101.62,102.07,2857501
20-Oct-16,102.09,102.96,101.72,102.86,1777270
19-Oct-16,103.00,103.20,102.32,102.49,1443959
18-Oct-16,102.89,103.00,102.10,102.67,2022257
17-Oct-16,102.02,102.38,101.62,102.17,1729583
14-Oct-16,102.68,102.80,101.64,102.11,3217128
13-Oct-16,101.80,102.80,101.54,102.54,2187386
12-Oct-16,103.36,103.40,102.31,102.32,1601222
11-Oct-16,102.70,103.49,102.27,103.33,1803877
10-Oct-16,103.77,103.89,102.90,102.97,989674
7-Oct-16,103.75,103.89,103.25,103.36,2391704
6-Oct-16,103.25,103.77,103.20,103.50,3371163
5-Oct-16,101.09,103.36,101.09,103.18,4512000
4-Oct-16,102.82,102.88,102.10,102.15,3305007
3-Oct-16,102.25,102.55,101.99,102.47,1945370
30-Sep-16,102.28,102.49,101.57,102.20,3664539
29-Sep-16,102.52,102.60,101.34,101.79,2670656
28-Sep-16,102.89,102.89,101.65,102.56,3103305
27-Sep-16,102.57,102.92,102.06,102.25,3109860
26-Sep-16,103.72,104.43,102.01,102.13,4070529
23-Sep-16,104.12,104.17,103.40,103.50,2083537
22-Sep-16,104.86,104.97,104.10,104.20,4251741
21-Sep-16,103.80,104.73,103.80,104.36,5719552
20-Sep-16,102.75,103.10,102.01,102.88,3568996
19-Sep-16,103.93,104.22,101.66,101.80,5620739
16-Sep-16,104.44,104.52,103.20,103.45,7717221
15-Sep-16,106.70,106.78,103.94,104.22,10629645
14-Sep-16,107.01,107.75,106.35,106.76,25716946
13-Sep-16,106.93,109.50,105.01,106.10,7589490
12-Sep-16,106.98,107.24,106.50,106.99,2714624
9-Sep-16,108.35,109.07,106.67,106.78,9126749
8-Sep-16,106.90,108.34,106.17,108.05,5174332
7-Sep-16,106.77,106.95,105.76,106.57,3063598
6-Sep-16,108.17,108.40,105.85,106.07,9005216
2-Sep-16,107.22,107.56,106.71,107.44,1361248
1-Sep-16,106.49,107.23,106.12,106.91,2376404
31-Aug-16,107.18,107.44,104.83,106.50,3713066
30-Aug-16,107.50,108.35,106.74,107.44,2503480
29-Aug-16,107.86,108.26,107.35,107.54,2426569
26-Aug-16,107.52,107.76,106.63,107.40,4005600
25-Aug-16,107.14,107.50,106.67,106.99,2074676
24-Aug-16,107.87,107.87,106.80,107.00,3593587
23-Aug-16,108.71,109.00,106.91,107.10,7480549
22-Aug-16,104.27,105.39,103.65,104.50,1937870
19-Aug-16,103.70,104.83,103.51,104.15,2119785
18-Aug-16,104.60,104.88,103.75,103.99,1695608
17-Aug-16,105.66,105.75,102.18,104.23,4461474
16-Aug-16,106.04,106.74,105.42,105.44,2623061
15-Aug-16,105.66,106.00,104.96,104.98,1141816
12-Aug-16,105.92,106.35,104.44,105.25,1249560
11-Aug-16,106.61,106.61,104.96,105.92,1731642
10-Aug-16,106.63,106.63,105.68,105.94,1204190
9-Aug-16,107.05,107.14,105.66,106.50,1628272
8-Aug-16,107.50,107.66,106.41,106.75,1366678
