Date,Open,High,Low,Close,Volume
9-Dec-16,85.38,86.90,85.28,86.87,1590381
8-Dec-16,85.22,85.65,84.75,85.43,1731359
7-Dec-16,84.27,85.48,83.49,85.37,2305045
6-Dec-16,86.03,87.51,81.53,84.26,8100333
5-Dec-16,86.77,86.93,85.39,86.05,1903219
2-Dec-16,87.50,88.44,85.98,86.34,2004070
1-Dec-16,86.80,87.77,86.48,87.61,1804525
30-Nov-16,88.21,88.42,86.88,86.94,1967432
29-Nov-16,88.14,88.66,87.99,88.34,1002753
28-Nov-16,88.18,88.73,87.94,88.20,1237875
25-Nov-16,88.04,88.79,87.81,88.47,396156
23-Nov-16,87.75,88.40,87.57,87.75,1221284
22-Nov-16,86.44,88.21,86.44,87.73,1883975
21-Nov-16,85.19,86.37,84.98,86.34,1404592
18-Nov-16,86.80,87.20,84.80,84.85,2195062
17-Nov-16,84.88,87.55,84.70,87.28,2445473
16-Nov-16,83.77,85.05,83.77,84.92,1823346
15-Nov-16,83.36,84.15,83.00,83.93,1662828
14-Nov-16,81.68,83.44,81.67,83.20,2357952
11-Nov-16,80.23,81.50,80.10,81.33,1420350
10-Nov-16,80.67,81.10,79.81,80.37,1809059
9-Nov-16,80.54,81.34,79.23,80.81,2153062
8-Nov-16,80.47,81.65,80.47,81.36,1234930
7-Nov-16,80.53,81.07,80.33,80.59,1337539
4-Nov-16,79.24,80.01,78.70,79.52,1693246
3-Nov-16,79.25,79.73,78.91,79.23,1407526
2-Nov-16,79.28,80.07,78.67,79.00,1577529
1-Nov-16,80.00,80.10,78.76,79.21,1291103
31-Oct-16,80.04,80.10,79.39,79.82,1324186
28-Oct-16,79.24,80.28,79.24,79.65,1168974
27-Oct-16,79.80,79.85,78.83,79.12,1616793
26-Oct-16,79.56,80.37,79.50,79.60,1220515
25-Oct-16,80.38,80.56,80.04,80.08,1513113
24-Oct-16,80.01,80.96,79.74,80.45,1578343
21-Oct-16,79.23,79.88,78.78,79.75,2150021
20-Oct-16,80.19,80.21,79.00,79.63,2835835
19-Oct-16,80.62,80.86,79.91,80.34,4121984
18-Oct-16,80.49,81.78,80.00,80.87,3826558
17-Oct-16,82.73,83.68,82.67,82.83,2699466
14-Oct-16,82.65,83.42,82.62,82.87,1678597
13-Oct-16,82.24,82.60,81.42,82.07,2102434
12-Oct-16,82.12,83.04,81.88,82.68,1312184
11-Oct-16,82.63,82.70,81.74,81.94,1649871
10-Oct-16,82.48,83.14,82.48,82.66,938643
7-Oct-16,83.00,83.33,81.93,82.24,1837949
6-Oct-16,82.86,83.45,82.26,83.06,1512096
5-Oct-16,83.76,83.92,82.88,82.95,1252083
4-Oct-16,84.55,84.85,83.21,83.32,1247981
3-Oct-16,84.46,84.96,84.23,84.44,938778
30-Sep-16,84.49,85.40,84.24,85.00,1353363
29-Sep-16,85.11,85.41,83.90,84.05,825956
28-Sep-16,85.02,85.38,84.58,85.28,777799
27-Sep-16,83.89,85.02,83.65,84.96,1040031
26-Sep-16,83.73,83.98,83.36,83.87,931010
23-Sep-16,84.90,85.03,84.23,84.23,1008344
22-Sep-16,85.23,85.56,84.88,85.36,740362
21-Sep-16,84.21,85.02,83.91,84.90,945657
20-Sep-16,83.96,84.42,83.66,84.05,1200159
19-Sep-16,84.34,84.84,83.91,84.01,1091615
16-Sep-16,84.24,84.34,83.60,83.96,1132975
15-Sep-16,83.49,84.96,83.20,84.61,997926
14-Sep-16,83.90,84.25,83.25,83.56,699434
13-Sep-16,84.59,84.65,83.51,83.75,1365177
12-Sep-16,83.30,85.48,83.14,85.30,1429259
9-Sep-16,85.33,85.47,83.74,83.75,1471301
8-Sep-16,86.81,86.89,86.01,86.06,1054592
7-Sep-16,86.12,87.50,86.12,87.15,1019187
6-Sep-16,86.59,86.69,85.87,86.37,1025395
2-Sep-16,86.69,86.83,86.14,86.70,648155
1-Sep-16,86.25,86.48,85.31,86.25,859835
31-Aug-16,86.15,86.48,85.70,86.13,915530
30-Aug-16,86.04,86.50,85.92,86.36,1649290
29-Aug-16,84.68,86.37,84.62,85.84,1796167
26-Aug-16,84.48,85.37,84.09,84.55,682873
25-Aug-16,84.36,84.63,84.08,84.38,861367
24-Aug-16,86.28,86.28,84.30,84.42,1018690
23-Aug-16,84.75,84.99,84.40,84.67,1019319
22-Aug-16,84.24,84.67,83.95,84.43,892353
19-Aug-16,83.93,84.62,83.61,84.35,1058468
18-Aug-16,84.39,84.62,84.05,84.19,1008608
17-Aug-16,83.87,84.59,83.87,84.57,766672
16-Aug-16,84.89,84.89,83.85,84.05,1266483
15-Aug-16,84.79,85.80,84.40,85.28,2255445
12-Aug-16,83.31,84.42,82.91,84.26,1833537
11-Aug-16,82.25,83.22,82.06,83.15,1104144
10-Aug-16,82.00,82.38,81.83,82.23,718278
9-Aug-16,81.89,82.20,81.54,81.87,649980
8-Aug-16,82.59,82.59,81.82,81.94,829918
5-Aug-16,81.88,82.49,81.74,82.44,790800
4-Aug-16,81.24,81.83,80.92,81.53,1059586
3-Aug-16,81.27,81.41,80.87,81.11,830239
2-Aug-16,82.71,82.84,80.63,81.25,1296475
1-Aug-16,82.45,82.73,81.99,82.60,1415003
29-Jul-16,82.47,82.60,81.85,82.29,1113030
28-Jul-16,82.31,83.00,82.31,82.71,1030333
27-Jul-16,82.60,83.10,82.23,82.36,1772683
26-Jul-16,82.77,82.83,81.79,82.62,980418
25-Jul-16,82.56,83.00,82.39,82.78,1027971
22-Jul-16,82.00,83.01,80.47,82.67,2077419
21-Jul-16,83.35,83.35,81.38,81.83,1913478
20-Jul-16,83.88,83.90,83.15,83.68,1653841
19-Jul-16,82.80,83.39,82.50,83.32,1118174
18-Jul-16,82.72,83.35,82.44,83.04,1043419
15-Jul-16,83.61,83.61,82.36,82.78,1909096
14-Jul-16,83.09,83.90,82.12,83.12,2778548
13-Jul-16,84.57,85.42,84.26,84.96,2508287
12-Jul-16,84.27,85.29,84.07,84.54,2487984
11-Jul-16,83.12,84.24,82.44,83.96,1900823
8-Jul-16,82.88,83.26,82.48,83.12,1308795
7-Jul-16,81.50,82.51,81.17,82.31,1879804
6-Jul-16,82.24,83.20,79.94,81.42,1812318
5-Jul-16,81.21,81.21,80.41,80.74,1622718
1-Jul-16,81.37,81.97,81.34,81.69,1488985
30-Jun-16,80.40,81.49,79.74,81.49,1600623
29-Jun-16,79.12,80.18,75.61,80.10,2292622
28-Jun-16,78.27,78.90,77.87,78.83,1634655
27-Jun-16,79.85,79.88,77.32,77.57,2595518
24-Jun-16,82.17,82.20,80.55,80.69,3364265
23-Jun-16,84.83,84.96,84.32,84.96,1328667
22-Jun-16,83.65,84.09,82.98,83.84,1574105
21-Jun-16,83.28,83.65,82.57,83.28,1343965
20-Jun-16,82.33,83.16,82.21,82.95,1252450
17-Jun-16,81.57,81.59,80.73,81.35,1445032
16-Jun-16,81.39,81.91,80.40,81.71,1374774
15-Jun-16,81.90,82.25,81.52,81.62,1695387
14-Jun-16,82.02,82.13,81.05,81.85,2107609
13-Jun-16,82.79,83.20,79.45,82.15,1430834
10-Jun-16,83.94,84.04,83.23,83.33,1540280
9-Jun-16,84.27,84.65,83.99,84.40,1679943
8-Jun-16,83.46,85.75,83.41,85.37,2527793
7-Jun-16,82.69,83.40,82.39,83.27,1474497
6-Jun-16,81.97,82.64,81.50,82.44,1360024
