Date,Open,High,Low,Close,Volume
9-Dec-16,98.43,99.09,98.21,99.04,1135737
8-Dec-16,96.90,98.41,96.31,98.11,1602030
7-Dec-16,95.64,97.39,95.28,97.13,2130670
6-Dec-16,95.52,95.70,94.85,95.48,1485198
5-Dec-16,95.63,96.72,95.23,95.53,1732765
2-Dec-16,94.96,95.85,94.74,95.63,1796031
1-Dec-16,97.73,98.25,94.10,94.66,3214603
30-Nov-16,99.64,100.25,98.03,98.03,1819359
29-Nov-16,99.65,100.51,99.52,100.05,1233125
28-Nov-16,99.34,100.21,98.79,99.83,1527031
25-Nov-16,98.83,100.77,98.41,99.74,716927
23-Nov-16,100.03,100.34,98.49,98.89,1222197
22-Nov-16,98.84,100.34,98.46,99.98,1881962
21-Nov-16,97.07,98.96,97.07,98.55,1408930
18-Nov-16,97.29,97.82,96.55,96.83,1480545
17-Nov-16,97.35,98.00,97.25,97.94,1097527
16-Nov-16,97.46,97.92,96.40,97.51,1219079
15-Nov-16,97.12,98.15,97.07,97.72,1783124
14-Nov-16,98.80,98.81,96.09,96.82,2878633
11-Nov-16,99.44,99.83,98.22,99.05,1674892
10-Nov-16,102.13,102.64,98.21,99.66,4565616
9-Nov-16,103.11,104.62,102.70,103.09,2326846
8-Nov-16,104.51,106.34,104.49,105.88,1819042
7-Nov-16,103.93,105.12,103.86,105.00,1789851
4-Nov-16,103.36,104.00,102.62,102.81,1448496
3-Nov-16,103.98,104.22,101.90,103.02,1918741
2-Nov-16,104.88,105.19,103.55,103.65,2462004
1-Nov-16,102.70,109.37,101.81,105.31,6877587
31-Oct-16,104.49,105.22,103.51,103.81,2236464
28-Oct-16,104.02,105.43,103.32,104.49,1943065
27-Oct-16,106.62,106.82,104.77,104.86,1901398
26-Oct-16,108.00,108.00,106.09,106.11,1439980
25-Oct-16,108.26,108.69,107.78,108.10,2047256
24-Oct-16,108.78,109.00,107.92,108.30,1221517
21-Oct-16,108.40,108.70,107.61,108.63,1763042
20-Oct-16,109.68,110.07,108.17,108.53,1924604
19-Oct-16,110.00,110.49,109.04,109.09,1679125
18-Oct-16,111.10,111.10,110.03,110.11,1150522
17-Oct-16,111.50,111.98,110.31,110.39,1134508
14-Oct-16,111.27,112.19,111.02,111.25,1687375
13-Oct-16,110.47,111.09,109.80,110.65,1515583
12-Oct-16,109.84,110.49,109.51,110.25,1265923
11-Oct-16,110.06,110.20,108.63,109.84,2079104
10-Oct-16,108.62,110.66,108.62,109.83,1801271
7-Oct-16,108.00,108.31,106.45,107.65,1207615
