Date,Open,High,Low,Close,Volume
9-Dec-16,56.38,56.70,56.01,56.52,1413071
8-Dec-16,56.30,56.70,56.20,56.44,1593008
7-Dec-16,55.74,56.29,55.54,56.29,1274201
6-Dec-16,55.41,55.74,55.13,55.72,1268830
5-Dec-16,55.86,55.99,55.07,55.28,1535855
2-Dec-16,55.71,55.90,55.52,55.81,1033702
1-Dec-16,55.49,55.71,55.23,55.47,1007045
30-Nov-16,55.83,55.83,55.47,55.49,1317950
29-Nov-16,55.84,56.02,55.67,55.90,1125693
28-Nov-16,55.59,55.93,55.43,55.86,1236720
25-Nov-16,55.33,55.76,55.33,55.63,471851
23-Nov-16,55.38,55.66,55.04,55.18,1493419
22-Nov-16,55.54,55.69,55.27,55.43,1512384
21-Nov-16,55.01,55.38,54.82,55.35,1361969
18-Nov-16,54.65,54.93,54.47,54.61,1396644
17-Nov-16,54.48,54.74,54.38,54.67,1237842
16-Nov-16,54.96,55.31,54.37,54.57,2083777
15-Nov-16,54.29,54.92,54.14,54.91,1732087
14-Nov-16,53.65,54.28,53.30,54.10,1660201
11-Nov-16,52.88,53.74,52.84,53.67,1661623
10-Nov-16,52.80,53.05,52.28,52.90,1788948
9-Nov-16,51.74,52.93,51.59,52.76,1548611
8-Nov-16,52.03,52.34,51.92,52.24,1321958
7-Nov-16,51.76,52.02,51.66,52.01,1363270
4-Nov-16,51.18,51.55,51.15,51.23,1855619
3-Nov-16,51.18,51.37,50.89,51.03,1277711
2-Nov-16,51.34,51.60,51.09,51.15,1221104
1-Nov-16,52.30,52.38,51.15,51.29,2367500
31-Oct-16,52.14,52.77,52.14,52.63,2012955
28-Oct-16,51.90,52.27,51.22,51.98,3055387
27-Oct-16,51.27,51.57,50.75,50.97,1644142
26-Oct-16,51.07,51.62,50.76,51.29,1519495
25-Oct-16,50.45,51.33,50.45,50.95,1806783
24-Oct-16,50.16,50.58,50.15,50.55,888545
21-Oct-16,49.70,49.97,49.44,49.93,856677
20-Oct-16,50.09,50.22,49.78,49.98,1115353
19-Oct-16,50.33,50.48,49.92,50.17,713089
18-Oct-16,50.32,50.65,50.15,50.24,696301
17-Oct-16,49.82,50.24,49.82,50.15,846389
14-Oct-16,49.78,50.37,49.78,49.82,1261960
13-Oct-16,49.41,49.80,49.18,49.63,1463518
12-Oct-16,49.65,49.85,49.51,49.69,1334561
11-Oct-16,49.82,49.98,49.38,49.60,1226042
10-Oct-16,49.53,49.98,49.53,49.89,1056745
7-Oct-16,49.74,49.85,49.24,49.49,1296354
6-Oct-16,49.70,49.86,49.42,49.72,1775232
5-Oct-16,49.99,50.27,49.70,49.85,1534011
4-Oct-16,50.45,50.54,49.76,49.92,1315850
3-Oct-16,50.48,50.67,50.20,50.40,1146814
30-Sep-16,50.22,50.63,50.22,50.45,1523463
29-Sep-16,50.14,50.32,49.99,50.07,1318026
28-Sep-16,50.84,50.95,50.22,50.59,1156950
27-Sep-16,50.92,51.19,50.71,50.77,1118848
26-Sep-16,50.61,51.01,50.58,50.78,939125
23-Sep-16,51.02,51.16,50.68,50.78,1297999
22-Sep-16,51.50,51.58,51.04,51.21,1456367
21-Sep-16,50.88,51.40,50.74,51.33,1433337
20-Sep-16,51.00,51.38,50.70,50.76,1585787
19-Sep-16,50.18,50.87,50.18,50.71,1617200
16-Sep-16,50.06,50.32,49.77,50.26,2158953
15-Sep-16,49.79,50.37,49.72,50.24,1192366
14-Sep-16,49.95,50.23,49.73,49.80,1276299
13-Sep-16,49.92,50.52,49.91,49.96,2010304
12-Sep-16,49.50,50.39,49.42,50.27,1522001
9-Sep-16,50.41,50.52,49.50,49.52,1477039
8-Sep-16,50.58,50.96,50.50,50.83,1040361
7-Sep-16,51.03,51.13,50.63,50.77,1012203
6-Sep-16,50.92,51.50,50.88,51.21,1205399
2-Sep-16,50.92,51.28,50.90,51.08,835540
